"astro-ph/0012040","Alexander Kusenko","Alexander Kusenko and Vadim A. Kuzmin","Possible galactic sources of ultrahigh-energy cosmic rays and a strategy
  for their detection via gravitational lensing","3 pages, one figure; references added","Pisma Zh.Eksp.Teor.Fiz.73:503,2001; JETP Lett.73:443-445,2001","10.1134/1.1385653","UCLA/00/TEP/28, BNL-HET-00/43","astro-ph hep-ph",,"  If decays of superheavy relic particles in the galactic halo are responsible
for ultrahigh-energy cosmic rays, these particles must be clustered to account
for small-scale anisotropy in the AGASA data. We show that the masses of such
clusters are large enough for them to gravitationally lens stars and galaxies
in the background. We propose a general strategy that can be used to detect
such clusters via gravitational lensing, or to rule out the hypothesis of
decaying relic particles as the origin of highest-energy cosmic rays.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:50:20 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 23:39:19 GMT""}]","2014-10-13"
"gr-qc/0012012","Jonathan Thornburg","Jonathan Thornburg","A Multiple-Grid-Patch Evolution Scheme for 3-D Black Hole Excision","LaTeX, 2 pages including 1 postscript figure; uses World Scientific
  style file ws-p9-75x6-50.cls (enclosed); to appear in Proceedings of the 9th
  Marcel Grossman Meeting; talk presented 6 July 2000 in MG9 session CM3 -
  Black Hole Collisions",,,"UWThPh-2000-50","gr-qc",,"  When using black hole excision to numerically evolve a fully generic black
hole spacetime, most 3-D 3+1 codes use an $xyz$-topology (spatial) grid. In
such a grid, an $r = \constant$ excision surface must be approximated by an
irregular and non-smooth ""staircase-shaped"" excision grid boundary, which may
introduce numerical instabilities into the evolution. In this paper I describe
an alternate scheme, which uses multiple grid patches, each with topology $\{r
\times ({\rm angular coordinates})\}$, to cover the slice outside the $r =
\constant$ excision surface. The excision grid boundary is now smooth, so the
evolution should be less prone to instabilities. With 4th order finite
differencing, this code evolves Kerr initial data to ${\sim} 60M$ using the ADM
equations; I'm currently implementing the BSSN equations in it in the hope that
this will improve the stability.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 17:03:22 GMT""}]","2007-05-23"
"gr-qc/0012013","Ronald W. Hellings","Ronald W. Hellings (Jet Propulsion Laboratory)","Elimination of Clock Jitter Noise in Spaceborn Laser Interferometers","20 pages, 5 figures","Phys.Rev. D64 (2001) 022002","10.1103/PhysRevD.64.022002",,"gr-qc",,"  Space gravitational wave detectors employing laser interferometry between
free-flying spacecraft differ in many ways from their laboratory counterparts.
Among these differences is the fact that, in space, the end-masses will be
moving relative to each other. This creates a problem by inducing a Doppler
shift between the incoming and outgoing frequencies. The resulting beat
frequency is so high that its phase cannot be read to sufficient accuracy when
referenced to state-of-the-art space-qualified clocks. This is the problem that
is addressed in this paper. We introduce a set of time-domain algorithms in
which the effects of clock jitter are exactly canceled. The method employs the
two-color laser approach that has been previously proposed, but avoids the
singularities that arise in the previous frequency-domain algorithms. In
addition, several practical aspects of the laser and clock noise cancellation
schemes are addressed.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 21:04:32 GMT""},{""version"":""v2"",""created"":""Tue, 5 Dec 2000 00:47:21 GMT""}]","2009-10-31"
"gr-qc/0012014","B. S. Sathyaprakash","B.S. Sathyaprakash","The gravitational wave symphony of the Universe","Proceedings of the International Conference on Gravitation and
  Cosmology, held at IIT Kharagpur, Jan 2000 (to appear in Pramana J. Phys.)","Pramana 56:457-475,2001","10.1007/s12043-001-0096-7",,"gr-qc",,"  The new millennium will see the upcoming of several ground-based
interferometric gravitational wave antennas. Within the next decade a
space-based antenna may also begin to observe the distant Universe. These
gravitational wave detectors will together operate as a network taking data
continuously for several years, watching the transient and continuous phenomena
occurring in the deep cores of astronomical objects and dense environs of the
early Universe where gravity was extremely strong and highly non-linear. The
network will listen to the waves from rapidly spinning non-axisymmetric neutron
stars, normal modes of black holes, binary black hole inspiral and merger,
phase transitions in the early Universe, quantum fluctuations resulting in a
characteristic background in the early Universe. The gravitational wave
antennas will open a new window to observe the dark Universe unreachable via
other channels of astronomical observations.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 22:58:19 GMT""},{""version"":""v2"",""created"":""Wed, 10 Jul 2002 21:58:38 GMT""}]","2009-10-31"
"gr-qc/0012015","Sawa Manoff","S. Manoff","Deviation equations of Synge and Schild over spaces with affine
  connections and metrics","15 pages, LaTeX. To appear in Intern. J. Mod. Phys. A","Int.J.Mod.Phys. A16 (2001) 1109-1122","10.1142/S0217751X01003068",,"gr-qc",,"  Deviation equation of Synge and Schild has been investigated over spaces with
affine connections and metrics. It is shown that the condition for the
vanishing of the Lie derivative of a vector field along a given non-null
(non-isotropic) vector field u for obtaining this equation is only a sufficient
(but not necessary) condition. By means of the vector field u and the
projective metric (orthogonal to it) projected deviation equations of Synge and
Schild have been obtained for a vector field, orthogonal to the given vector
field u, as well as for the square of its length. For a given non-isotropic,
auto-parallel and normalized vector field u this equation could have some
simple solutions.
  PACS numbers: 02.90; 04.50+h; 04.90.+e: 04.30.+x
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 07:31:44 GMT""}]","2015-06-25"
"gr-qc/0012016","Carlos F. Sopuerta","Francesc Fayos and Carlos F. Sopuerta","Integrability conditions for vacuum spacetimes with a Killing vector
  field","2 pages, ws-p9-75x6-50.cls with LaTeX2e. Contribution to the Ninth
  Marcel Grossmann Meeting (Rome, 2-8 July, 2000). Parallel session GT1",,,,"gr-qc",,"  We present a new approach to the study of vacuum spacetimes with a Killing
symmetry. The central quantity in this approach is the exterior derivative of
the Killing vector field, which is a test electromagnetic field. Considering
the algebraic structure of this quantity we get a new view of the integrability
conditions, which provides a natural way of studying the connections between
the algebraic structure of the spacetime and properties of the Killing
symmetry.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 12:24:46 GMT""}]","2007-05-23"
"gr-qc/0012017","C. M. zhang","C.M. Zhang","HBO and Periastron Precession around the X-ray Neutron Star
  Magnetosphere","2 pages, 1 figure, submit to Proceedings of The Ninth Marcel Grossman
  Meeting on Gen. Rel. and Grav. at Rome, Italy, July, 2000, Eds. Ruffini, R.
  (World Sci. Publisher, Singapore)",,,,"gr-qc",,"  Based on the periastron precession model to account for kHz QPO of the binary
X-ray neutron star, proposed by Stella and Vietri, we ascribe the 15-60 Hz
Quasi Periodic Oscillation (QPO) to the periastron precession frequency of the
orbiting accreted matter at the boundary of magnetosphere-disk of X-ray neutron
star (NS). The obtained conclusions include: all QPO frequencies increase with
increasing the accretion rate. The theoretical relations between 15-60 Hz QPO
(HBO) frequency and the twin kHz QPOs are similar to the measured empirical
formula. Further, the better fitted NS mass by the proposed model is about 1.9
solar masses for the detected LMXBs.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 12:37:34 GMT""}]","2007-05-23"
"gr-qc/0012018","Johan Braennlund","Ingemar Bengtsson, Johan Braennlund (Stockholm University)","2+1 gravity, chaos and time machines",,"J.Math.Phys. 42 (2001) 3565-3579","10.1063/1.1378302","SUITP 00-17","gr-qc",,"  2+1 gravity for spacetimes with topology RxT^2 has been much studied. We add
a description of how to extend these spacetimes across a Cauchy horizon into a
region where the torus becomes Lorentzian. The result is a one parameter family
of tori given by a geodesic in the ""Teichmueller space"" of Lorentzian tori. We
describe this in detail. We also point out that if the modular group is
regarded as part of the gauge group then these spacetimes offer a nice toy
model for the dynamics of Bianchi IX models; in the region where the tori are
spacelike the dynamics is described exactly by a hyperbolic billiard. On the
other hand the modular group acts ergodically on the Teichmueller space of
Lorentzian tori.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 13:40:20 GMT""}]","2015-06-25"
"gr-qc/0012019","Hector Hernandez","H. Hern\'andez and L.A. N\'u\~nez","Static Anisotropic Solutions to Einstein Equations with a Nonlocal
  Equation of State","Ninth Marcel Grossmann Meeting Proceedings",,,,"gr-qc",,"  We present a general method to obtain static anisotropic spherically
symmetric solutions, satisfying a nonlocal equation of state, from known
density profiles. This equation of state describes, at a given point, the
components of the corresponding energy-momentum tensor not only as a function
at that point, but as a functional throughout the enclosed configuration. In
order to establish the physical aceptability of the proposed static family of
solutions satisfying nonlocal equation of state,\textit{}we study the
consequences imposed by the junction and energy conditions for anisotropic
fluids in bounded matter distribution. It is shown that a general relativistic
spherically symmetric bounded distributions of matter, at least for certain
regions, could satisfy a nonlocal equation of state.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 15:36:02 GMT""}]","2016-08-15"
"hep-ex/0012009","Carla Gobel","Carla Gobel (for the E791 Collaboration)","Light mesons and charm decays: New results from E791","11 pages, 10 eps figures included. Contribution to the Proceedings of
  Heavy Quarks at Fixed Target (HQ2K), Rio de Janeiro, October, 2000","Frascati Phys.Ser. 20 (2001) 373-384",,,"hep-ex hep-ph",,"  We will discuss how the decays of charm mesons can be used to study light
mesons spectroscopy, by presenting recent results of Dalitz plot analyses using
data from Fermilab experiment E791. Emphasis will be on scalar mesons, which
are found to have large contribution to the $D$ decays studied. In addition to
the usual extraction of decay fractions and relative phases of the intermediate
amplitudes, the Dalitz plot technique is used to measure masses and widths of
scalar resonances. From the $D_s$ decay, we obtain masses and widths of
$f_0(980)$ and $f_0(1370)$. We find evidence for a light and broad scalar
resonance, the $\sigma$ meson, in $D^+\to\pi^-\pi^+\pi^+$ decay. Preliminary
studies also show evidence for a light and broad resonance, the $\kappa$ meson,
in $D^+\to K^-\pi^+\pi^+$ decay. These results illustrate the potential of
charm decays as a laboratory for the study of light mesons.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 00:06:33 GMT""}]","2019-08-14"
"hep-ex/0012010","Renoult","D. Abbaneo (CERN)","Review of experimental results on neutral B meson oscillations","22 pages, 17 figures, Conference Heavy Quarks at Fixed target, Rio de
  janeiro, Oct 9-19, 2000","Frascati Phys.Ser. 20 (2001) 401-422",,,"hep-ex",,"  The current status of the experimental knowledge of neutral B meson
oscillation is reviewed. The B0d oscillation frequency is precisely measured by
SLD, CDF and the LEP experiments. An overview of the analyses and their
combination is presented. Preliminary measurements and perspectives at the
running B factories are also briefly discussed. The much faster B0s
oscillations have not yet been resolved, despite the progress recently by SLD
and ALEPH. The world combination is presented, together with the expected and
observed lower limit on the B0s oscillation frequency. The ""amplitude method"",
used to combine the analyses in order to set the limits, is discussed also as a
tool to establish the significance of a possible signal.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 08:52:04 GMT""}]","2007-05-23"
"hep-ex/0012011","Catherine Eguren","Guillaume Unal","Performances of the NA48 Liquid Krypton calorimeter","15 pages","Frascati Phys.Ser. 21 (2001) 361-375",,"LAL 00-67","hep-ex physics.ins-det",,"  The NA48 experiments aims at a precise measurement of direct CP violation in
the neutral Kaon system. This puts stringent requirements on the
electromagnetic calorimeter used to detect photons of average energy 25 GeV.
The choice of NA48 is a quasi homogeneous Liquid Krypton calorimeter with fast
readout. The operation of this device and the performances achieved are
described.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 11:01:26 GMT""}]","2007-05-23"
"hep-lat/0012003","Vittorio Lubicz","V. Lubicz","Quark Masses on the Lattice: Light and Heavy","Lattice 2000 (Plenary), 14 pages (LaTeX), 6 postscript figures;
  plenary talk at 18th International Symposium on Lattice Field Theory (Lattice
  2000), Bangalore, India, 17-22 Aug 2000","Nucl.Phys.Proc.Suppl.94:116-129,2001","10.1016/S0920-5632(01)00963-X","RM3-TH/00-21","hep-lat hep-ph",,"  I review the current status of lattice calculations of light and heavy quark
masses. Significant progresses, in these studies, have been allowed by the
introduction of improved actions and non-perturbative renormalization
techniques. Current determinations of light quark masses are accurate at the
level of 20%, where the main source of uncertainty is represented by the
quenching error. The determination of the bottom quark mass is accurate at the
impressive level of 2%. As final averages of lattice results, I quote mud(2
GeV) = (4.5 +- 1.0) MeV, ms(2 GeV) = (110 +- 25) MeV and mb(mb) = (4.26 +-
0.09) GeV.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 17:22:36 GMT""}]","2008-11-26"
"hep-lat/0012004","Apoorva D. Patel","Apoorva D. Patel (CTS and SERC, IISc, Bangalore)","A derivation of Regge trajectories in large-N transverse lattice QCD","Lattice 2000 (spectrum), 5 pages, to appear in the proceedings","Nucl.Phys.Proc.Suppl. 94 (2001) 260-264","10.1016/S0920-5632(01)00971-9","IISc-CTS-14/00","hep-lat hep-ph hep-th",,"  Large-N QCD is analysed in light-front coordinates with a transverse lattice
at strong coupling. The general formalism can be looked up on as a d+n
expansion with a stack of d-dimensional hyperplanes uniformly spaced in n
transverse dimensions. It can arise by application of the renormalisation group
transformations only in the transverse directions. At leading order in strong
coupling, the gauge field dynamics reduces to the constraint that only colour
singlet states can jump between the hyperplanes. With d=2, n=2 and large-N, the
leading order strong coupling results are simple renormalisations of those for
the 't Hooft model. The meson spectrum lies on a set of parallel trajectories
labeled by spin. This is the first derivation of the widely anticipated Regge
trajectories in a regulated systematic expansion in QCD.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 03:50:52 GMT""}]","2009-10-31"
"hep-lat/0012005","Gernot Muenster","G. M\""unster (1) and M. Walzl (2) ((1) University of Muenster, (2)
  Forschungszentrum Juelich)","Lattice Gauge Theory - A short Primer","34 pages, LaTeX2e, 20 postscript figures, uses packages epsfig,
  latexsym, Lectures given at the PSI Zuoz Summer School 2000",,,"MS-TPI-00-11","hep-lat hep-ph hep-th",,"  In this contribution we give an introduction to the foundations and methods
of lattice gauge theory. Starting with a brief discussion of the quantum
mechanical path integral, we develop the main ingredients of lattice field
theory: functional integrals, Euclidean field theory and the space-time
discretization of scalar, fermion and gauge fields. Some of the methods used in
calculations are reviewed and illustrated by a collection of typical results.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 07:50:03 GMT""}]","2007-05-23"
"hep-lat/0012006","Santo Fortunato","S. Fortunato (University of Bielefeld, Germany)","Percolation and Deconfinement in SU(2) Gauge Theory","PhD Thesis, 129 pages, 54 figures, 17 tables",,,"BI-TP 2000/39","hep-lat cond-mat",,"  Cluster percolation and second order thermal phase transitions show an
amazing number of common features: power laws of the variables at criticality,
scaling relations of the critical exponents and universality of the critical
indices. Because of that, percolation theory seems to be an ideal framework to
devise a geometrical picture of a second order phase transition; the leading
characters of the phenomenon are ordered domains, whose size increases while
approaching the threshold until they fuse into a spanning structure, so that
the order from local becomes global. Such a geometrical picture is known to be
successful in the Ising model. The clusters are site-bond clusters, i.e. they
are built by joining nearest-neighbouring aligned spins with some
temperature-dependent bond probability. In this work we extend this result to a
wide variety of theories, from continuous Ising-like models to O(n) models. On
the grounds of these results, we devise a percolation picture for the confining
phase transition of SU(2) pure gauge theory, exploiting its analogies with the
Ising model. The cluster definition is obtained by constructing suitable
effective theories for SU(2), which admit an equivalent percolation
formulation.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 09:45:37 GMT""}]","2007-05-23"
"hep-ph/0012032","Serguei I. Klimushin","S.I.Klimushin, E.V.Bugaev, I.A.Sokalski (Institute for Nuclear
  Research, Russian Academy of Sciences, Moscow)","On the parametrization of atmospheric muon angular flux underwater","23 pages, 15 .eps figures, uses aps.sty, aps10.sty, prabib.sty,
  revtex.sty","Phys.Rev.D64:014016,2001","10.1103/PhysRevD.64.014016",,"hep-ph",,"  The analytical expression for angular integral flux of atmospheric muons in
matter with the explicit relation of its parameters with those of the sea level
spectrum is obtained. The fitting formula for the sea level muon spectrum at
different zenith angles for spherical atmosphere is proposed. The concrete
calculations for pure water are presented. Fluctuations of muon energy losses
are taken into account by means of parametrized correction factor calculated
using survival probabilities resulted from Monte Carlo simulations.
Parametrizations of all continuous energy losses are obtained with using the
most recent expressions for muon interaction cross-sections. The corresponding
parametrization errors and field of method application are comprehensively
discussed. The proposed formulae could be useful primarily for experimentalists
processing data of arrays located deep under water or under ice.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 16:29:46 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 2000 16:58:50 GMT""},{""version"":""v3"",""created"":""Thu, 1 Mar 2001 17:13:47 GMT""}]","2014-11-17"
"hep-ph/0012033","Gorbunov","D.S.Gorbunov, V.A.Rubakov","Kaon Physics with Light Sgoldstinos and Parity Conservation","14 pages, 3 figures. References added. Journal version","Phys.Rev. D64 (2001) 054008","10.1103/PhysRevD.64.054008",,"hep-ph",,"  Superpartners of goldstino -- scalar and pseudoscalar sgoldstinos -- interact
weakly with ordinary particles. One or both of them may be light. We consider a
class of supersymmetric extensions of the Standard Model in which interactions
of sgoldstinos with quarks and gluons conserve parity but do not conserve quark
flavor. If the pseudoscalar sgoldstino $P$ is light, m_P<(m_K-2m_\pi), and the
scalar sgoldstino is heavier, m_S>(m_K-m_\pi), an interesting place for
experimental searches is the poorly explored area of three-body decays of
kaons, K^0_{S,L}\to\pi^+\pi^- P, K^0_{S,L}\to\pi^0\pi^0 P and K^+\to\pi^+\pi^0
P, with $P$ subsequently decaying into \gamma\gamma, possibly e^+e^-, or flying
away from the detector. We evaluate the constraints on the flavor-violating
coupling of sgoldstino to quarks which are imposed by K^0_L-K^0_S mass
difference and CP-violation in neutral kaon system, and find that these
constraints allow for fairly large Br(K\to\pi\pi P). We find that the most
interesting ranges of branching ratios start at Br(K^0_L\to\pi\pi P)\sim
10^{-3}, Br(K^+\to\pi^+\pi^0 P)\sim 10^{-4}, Br(K_S^0\to\pi\pi P)\sim 10^{-3}.
These searches for light pseudoscalar sgoldstino would be sensitive to the
supersymmetry breaking scale \sqrt{F} in the 100 TeV range and above. We also
briefly discuss the cases of light scalar sgoldstino and relatively heavy
sgoldstinos.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 18:43:48 GMT""},{""version"":""v2"",""created"":""Mon, 19 Feb 2001 20:04:24 GMT""},{""version"":""v3"",""created"":""Fri, 7 Sep 2001 13:19:51 GMT""}]","2009-10-31"
"hep-ph/0012034","Gary Goldstein","Gary R. Goldstein (MIT and Tufts University)","Spin Dependent Fragmentation Functions for Heavy Flavor Baryons and
  Single Heavy Hyperon Polarization","LaTeX2e 11 pages with 4 PostScript figures. To be published in
  Proceedings of the International Workshop ``Symmetries and spin'',
  Praha-SPIN-2000","Czech.J.Phys.51:A135-A143,2001","10.1007/s10582-001-0016-6","MIT-CTP: #3056","hep-ph",,"  Spin dependent fragmentation functions for heavy flavor quarks to fragment
into heavy baryons are calculated in a quark-diquark model. The production of
intermediate spin 1/2 and 3/2 excited states is explicity included. $\Lambda_b$
, $\Lambda_c$ and $\Xi_c$ production rate and polarization at LEP energies are
calculated and, where possible, compared with experiment. A different approach,
also relying on a heavy quark-diquark model, is proposed for the small momentum
transfer inclusive production of polarized heavy flavor hyperons. The predicted
$\Lambda_c$ polarization is roughly in agreement with experiment.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 19:15:26 GMT""}]","2009-10-31"
"hep-ph/0012035","Boris Kopeliovich","B.Z. Kopeliovich, J. Raufeisen, A.V. Tarasov","The color dipole picture of the Drell-Yan process","11 pages, 4 ps-figures, some points are discussed in more detail","Phys.Lett. B503 (2001) 91-98","10.1016/S0370-2693(01)00214-3","LA-UR-00-5917","hep-ph nucl-th",,"  At high energies, Drell-Yan (DY) dilepton production viewed in the target
rest frame should be interpreted as bremsstrahlung and can be expressed in
terms of the same color dipole cross section as DIS. We compute DY cross
sections on a nucleon target with the realistic parameterization for the dipole
cross section saturated at large separations. The results are compared to
experimental data and predictions for RHIC are presented. The transverse
momentum distribution of the DY process is calculated and energy growth is
expected to be steeper at large than at small transverse momenta. We also
calculate the DY angular distribution and investigate deviations from the
1+cos^2(\theta) shape.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 02:19:34 GMT""},{""version"":""v2"",""created"":""Mon, 18 Dec 2000 01:54:04 GMT""},{""version"":""v3"",""created"":""Tue, 30 Jan 2001 00:54:42 GMT""}]","2009-10-31"
"hep-ph/0012036","Anatoli Vankov","Anatoli Vankov","On neutrino family problem","5 pages",,,,"hep-ph",,"  The experiment conducted at the Brookhaven AGS at 1962 [1] on the interaction
of high-energy neutrinos with matter is considered in literature the
observation of electron and muon types of neutrinos. After analysis of the
experiment we have concluded that the latter does not give direct evidence of
the neutrino family existence.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 00:10:31 GMT""}]","2007-05-23"
"hep-ph/0012037","Brian Harris","G. T. Bodwin and B. W. Harris","Compatibility of various approaches to heavy-quark fragmentation","4 pages latex","Phys.Rev.D63:077503,2001","10.1103/PhysRevD.63.077503","ANL-HEP-PR-00-093","hep-ph",,"  We find that the definition of the heavy-quark fragmentation function given
by Jaffe and Randall differs by a factor of the longitudinal-momentum fraction
z from the standard Collins-Soper definition. Once this factor is taken into
account, the explicit calculation of Braaten et al. is found to be in agreement
with the general analysis of Jaffe and Randall. We also examine the model of
Peterson et al. for heavy-quark fragmentation and find that the quoted values
of the width and of the value of $z$ at the maximum are in error. The corrected
values are in agreement with the analysis of Jaffe and Randall.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 01:19:23 GMT""}]","2008-11-26"
"hep-ph/0012038","Tatsuo Kobayashi","Tatsuo Kobayashi","Can we distinguish SUSY breaking terms between weakly and strongly
  coupled heterotic string theories ?","11 pages, latex","Phys.Lett. B506 (2001) 187-192","10.1016/S0370-2693(01)00416-6",,"hep-ph hep-th",,"  We study soft SUSY breaking terms in heterotic M-theory. We show that both
weakly and strongly coupled heterotic string models lead to the same relations
of soft SUSY breaking terms, $A=-M$ and $m^2 = M^2/3$, up to $O((\alpha
T/S)^2)$.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 01:41:02 GMT""},{""version"":""v2"",""created"":""Mon, 18 Dec 2000 08:40:21 GMT""}]","2009-10-31"
"hep-ph/0012039",,"Krishna Rajagopal (MIT), Frank Wilczek (MIT)","Enforced Electrical Neutrality of the Color-Flavor Locked Phase","4 pages, revtex. v2: very minor changes only. v3: small
  clarifications; reference added; version to appear in Phys. Rev. Lett. v4,
  posted in 2008: typo in Eq. 14 corrected","Phys.Rev.Lett. 86 (2001) 3492-3495","10.1103/PhysRevLett.86.3492","MIT-CTP-3055","hep-ph astro-ph cond-mat nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We demonstrate that quark matter in the color-flavor locked phase of QCD is
rigorously electrically neutral, despite the unequal quark masses, and even in
the presence of an electron chemical potential. As long as the strange quark
mass and the electron chemical potential do not preclude the color-flavor
locked phase, quark matter is automatically neutral. No electrons are required
and none are admitted.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 03:33:06 GMT""},{""version"":""v2"",""created"":""Wed, 13 Dec 2000 21:05:02 GMT""},{""version"":""v3"",""created"":""Thu, 1 Mar 2001 16:46:34 GMT""},{""version"":""v4"",""created"":""Fri, 22 Aug 2008 16:26:43 GMT""}]","2009-10-31"
"hep-ph/0012040","Ryuichiro Kitano","Ryuichiro Kitano and Yasuhiro Okada","P and T Odd Asymmetries in Lepton Flavor Violating Tau Decays","31 pages, 5 figures","Phys.Rev. D63 (2001) 113003","10.1103/PhysRevD.63.113003","KEK-preprint-2000-131, KEK-TH-732","hep-ph",,"  We calculated the differential cross sections of the processes in which one
of the pair created tau particles at an e^+ e^- collider decays into lepton
flavor violating final states e.g. tau -> mu gamma, tau -> 3 mu, tau -> mu ee.
Using the correlations between angular distributions of both sides of tau
decays, we can obtain information on parity and CP violations of lepton flavor
non-conserving interactions. The formulae derived here are useful in
distinguishing different models, since each model of physics beyond the
standard model predicts different angular correlations. We also calculate
angular distributions of the major background process to tau -> l gamma search,
namely tau -> l nu \bar{\nu} gamma, and discuss usefulness of the angular
correlation for background suppression.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 04:50:22 GMT""}]","2009-10-31"
"hep-ph/0012042","Pierre Marage","P. Marage","Diffraction at HERA and Prospects with H1","Talk given at the DIFFRACTION 2000 Workshop, Cetraro, Italy, Sept.
  2000; 5 pages, 5 figures, 26 ref","Nucl.Phys.Proc.Suppl. 99A (2001) 139-143","10.1016/S0920-5632(01)01322-6",,"hep-ph",,"  In the context of the tremendous progress achieved at HERA in diffraction and
the need for a new level of statistical and systematic precision, the new very
large acceptance forward spectrometer planned by H1 (VFPS) is presented and the
physics issues are stressed.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 08:09:17 GMT""}]","2009-10-31"
"hep-ph/0012043","Alan Cornell","S.R.Choudhury, A.S.Cornell and G.C.Joshi","Radion signature in $\gamma\gamma$ scattering","6 pages, 2 figures",,,,"hep-ph",,"  We investigate the phenomenological consequences of the possible existence of
the radion at a TeV-scale for $\gamma\gamma$ scattering in the TeV range. We
find that polarized cross-sections only give possible experimental signatures
for the radion.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 07:55:58 GMT""}]","2007-05-23"
"hep-ph/0012044","Carlo Giunti","M.V. Garzelli, C. Giunti","A frequentist analysis of solar neutrino data","4 pages. Talk presented by M.V. Garzelli at the EuroConference on
  ""Frontiers in Particle Astrophysics and Cosmology"", San Feliu de Guixols,
  Spain, 30 Sep. - 5 Oct. 2000","Nucl.Phys.Proc.Suppl. 95 (2001) 146-149","10.1016/S0920-5632(01)01071-4","DFTT 45/00","hep-ph",,"  We present a Monte Carlo analysis in terms of neutrino oscillations of the
total rates measured in solar neutrino experiments in the framework of
frequentist statistics. We show that the goodness of fit and the confidence
level of the allowed regions in the space of the neutrino oscillation
parameters are significantly overestimated in the standard method. We also
present a calculation of exact allowed regions with correct frequentist
coverage. We show that the exact VO, LMA and LOW regions are much larger than
the standard ones and merge together giving an allowed band at large mixing
angles for all Delta m^2 > 10^{-10} eV^2.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 10:06:32 GMT""}]","2009-10-31"
"hep-ph/0012045","Thorsten Renk","Ernest M. Henley (University of Washington, Seattle), Thorsten Renk
  (Technische Universit\""at M\""unchen, Munich) and Wolfram Weise (Technische
  Universit\""at M\""unchen, Munich)","Coordinate Space Distributions of Antiquark Flavor Asymmetries in the
  Proton","7 pages, 4 figures, submitted to Physics Letters B","Phys.Lett.B502:99-103,2001","10.1016/S0370-2693(01)00190-3","TUM/T39-00-22, NT@UW-00-033","hep-ph",,"  We examine the space-time properties of the distribution (dbar - ubar) and
dbar/ubar in the proton. The difference of the antiquark distributions shows
the expected peak at the approximate pion Compton wavelength and is
supportative of the thesis that the meson cloud of the nucleon is at the origin
of the asymmetry of (dbar - ubar), with the pion cloud playing a dominant role.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 09:54:44 GMT""}]","2014-11-17"
"hep-ph/0012046","Kang Sin Kyu","Sin Kyu Kang and C. S. Kim","Majorana Neutrino Masses and Neutrino Oscillations","14 pages, RevTex","Phys.Rev. D63 (2001) 113010","10.1103/PhysRevD.63.113010",,"hep-ph",,"  We examine some patterns of Majorana neutrino mass matrix which is compatible
with the phenomenological lepton flavor mixing matrix and non-observation of
neutrinoless double beta decay. Imposing $(M_{\nu})_{ee}=0$ for the Majorana
neutrino mass matrix in the leading order, we obtain a relationship between the
solar mixing angle and the neutrino masses $m_1$ and $m_2$. Additional possible
texture zeros are assigned to the mass matrix so as for the nonvanishing
$\theta_{13}$ to be predictable in terms of neutrino masses. We also show how
three neutrino masses can be predicted from the solar mixing angle and the
experimental results of $\Delta m^2_{sol}$ and $\Delta m^2_{atm}$ in this
framework, and we discuss naturality of the forms of the mass matrix found in
our work.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 10:22:09 GMT""}]","2009-10-31"
