"astro-ph/0012419","Michael T. Murphy","M. T. Murphy (UNSW), J. K. Webb (UNSW), V. V. Flambaum (UNSW), V. A.
  Dzuba (UNSW), C. W. Churchill (PSU), J. X. Prochaska (OCIW), J. D. Barrow
  (DAMTP), A. M. Wolfe (UCSD)","Possible evidence for a variable fine structure constant from QSO
  absorption lines: motivations, analysis and results","17 pages, 3 figures, MNRAS in press, corrected small typos and added
  an acknowledgment","Mon.Not.Roy.Astron.Soc.327:1208,2001","10.1046/j.1365-8711.2001.04840.x",,"astro-ph gr-qc hep-th nucl-th physics.atom-ph",,"  An experimental search for variation in the fundamental coupling constants is
strongly motivated by modern high-energy physics theories. Comparison of quasar
absorption line spectra with laboratory spectra provides a sensitive probe for
variability of the fine structure constant, alpha, over cosmological
time-scales. We have previously developed and applied a new method providing an
order of magnitude gain in precision over previous optical astrophysical
constraints. Here we extend that work by including new quasar spectra of damped
Lyman-alpha absorption systems. We also re-analyse our previous lower redshift
data and confirm our initial results. The constraints on alpha come from
simultaneous fitting of absorption lines of subsets of the following species:
Mg I, Mg II, Al II, Al III, Si II, Cr II, Fe II, Ni II and Zn II. We present a
detailed description of our methods and results based on an analysis of 49
quasar absorption systems (towards 28 QSOs) covering the redshift range 0.5 < z
< 3.5. There is statistical evidence for a smaller alpha at earlier epochs:
da/a = (-0.72 +/- 0.18) * 10^{-5}. The new and original samples are independent
but separately yield consistent and significant non-zero values of da/a. We
summarise the results of a thorough investigation of systematic effects
published in a companion paper. The value we quote above is the raw value, not
corrected for any of these systematic effects. The only significant systematic
effects so far identified, if removed from our data, would lead to a more
significant deviation of da/a from zero.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:50:04 GMT""},{""version"":""v2"",""created"":""Thu, 28 Dec 2000 22:59:05 GMT""},{""version"":""v3"",""created"":""Fri, 19 Jan 2001 02:18:10 GMT""},{""version"":""v4"",""created"":""Sun, 22 Jul 2001 06:36:20 GMT""},{""version"":""v5"",""created"":""Tue, 4 Sep 2001 06:18:42 GMT""}]","2008-11-26"
"cond-mat/0012405","Anirban Chakraborti","Anirban Chakraborti, Srutarshi Pradhan and Bikas K. Chakrabarti","A Self-organising Model of Market with Single Commodity","8 pages, 3 figures (encapsulated postscript)","Physica A 297, 253 (2001)","10.1016/S0378-4371(01)00195-9",,"cond-mat.stat-mech q-fin.TR",,"  We have studied here the self-organising features of the dynamics of a model
market, where the agents `trade' for a single commodity with their money. The
model market consists of fixed numbers of economic agents, money supply and
commodity. We demonstrate that the model, apart from showing a self-organising
behaviour, indicates a crucial role for the money supply in the market and also
its self-organising behaviour is seen to be significantly affected when the
money supply becomes less than the optimum. We also observed that this optimal
money supply level of the market depends on the amount of `frustration' or
scarcity in the commodity market.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 14:45:47 GMT""}]","2009-10-31"
"cond-mat/0012406","Vittorio Penna","V. Penna (1), M. Spera (2) ((1)Dipartimento di Fisica and U.d.R. INFM,
  Politecnico di Torino, Italy, (2) Dipartimento di Metodi e Modelli
  Matematici, Universita` di Padova, Italy)","String Limit of Vortex Current Algebra","7 pages","Phys. Rev. B 62, 14547 (2000)","10.1103/PhysRevB.62.14547",,"cond-mat.mes-hall math-ph math.MP",,"  The Poisson structure generating the hamiltonian dynamics of string vortices
is reconstructed within the current algebra picture as a limiting case of the
standard brackets associated to fluids with a smooth vorticity field. The
approach implemented bypasses the use of Dirac's procedure. The fine structure
of the dynamical algebra is derived for planar fluids by implementing an
appropriate spatial fragmentation of the vorticity field, and the limit to the
point vortex gas is effected. The physical interpretation of the resulting
local currents is provided. Nontrivial differences characterizing the canonical
quantization of point vortices and the current algebra quantization are also
illustrated.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 15:24:33 GMT""}]","2009-10-31"
"cs/0012016","Claudia Queiruga","Javier Diaz, Claudia Queiruga, Villar Claudia and Laura Fava","A Virtual Java Simulation Lab for Computer Science Students","3 pages, WebNet 2000 (World Conference on the WWW and Internet) -
  AACE (Association for the Advancement of Computing Education)",,,,"cs.OH",,"  The VJ-Lab is a project oriented to improve the students learning process of
Computer Science degree at the National University of La Plata. The VJ-Lab is a
Web application with Java based simulations. Java can be used to provide
simulation environments with simple pictorial interfaces that can help students
to understand the subject. There are many fields in which it is difficult to
give students a feel for the subject that they are learning. Computer based
simulations offer a fun and effective way to enable students to learn by doing.
Both, practicing skills and applying knowledge are both allowed in simulated
worlds. We will focus on the VJ-Lab project overview, the work in progress and
some Java based simulations running. They imitate the behavior of data network
protocol and data structure algorithms. These applets are produced by the
students of the 'Software Development Laboratory' course.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 16:45:29 GMT""}]","2007-05-23"
"cs/0012017","Debbie W. Leung","Debbie W. Leung","Towards Robust Quantum Computation","243 pages, PhD Dissertation, Stanford University, July 2000",,,,"cs.CC quant-ph",,"  Quantum computation is a subject of much theoretical promise, but has not
been realized in large scale, despite the discovery of fault-tolerant
procedures to overcome decoherence. Part of the reason is that the
theoretically modest requirements still present daunting experimental
challenges. The goal of this Dissertation is to reduce various resources
required for robust quantum computation, focusing on quantum error correcting
codes and solution NMR quantum computation. A variety of techniques have been
developed, including high rate quantum codes for amplitude damping, relaxed
criteria for quantum error correction, systematic construction of
fault-tolerant gates, recipes for quantum process tomography, techniques in
bulk thermal state computation, and efficient decoupling techniques to
implement selective coupled logic gates. A detailed experimental study of a
quantum error correcting code in NMR is also presented. The Dissertation
clarifies and extends results previously reported in quant-ph/9610043,
quant-ph/9704002, quant-ph/9811068, quant-ph/9904100, quant-ph/9906112,
quant-ph/0002039. Additionally, a procedure for quantum process tomography
using maximally entangled states, and a review on NMR quantum computation are
included.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:35:14 GMT""}]","2007-05-23"
"cs/0012018","James Harland","James Harland, David Pym","Resource-distribution via Boolean constraints","Submission to ACM Transactions on Computational Logic",,,,"cs.LO",,"  We consider the problem of searching for proofs in sequential presentations
of logics with multiplicative (or intensional) connectives. Specifically, we
start with the multiplicative fragment of linear logic and extend, on the one
hand, to linear logic with its additives and, on the other, to the additives of
the logic of bunched implications, BI. We give an algebraic method for
calculating the distribution of the side-formulae in multiplicative rules which
allows the occurrence or non-occurrence of a formula on a branch of a proof to
be determined once sufficient information is available. Each formula in the
conclusion of such a rule is assigned a Boolean expression. As a search
proceeds, a set of Boolean constraint equations is generated. We show that a
solution to such a set of equations determines a proof corresponding to the
given search. We explain a range of strategies, from the lazy to the eager, for
solving sets of constraint equations. We indicate how to apply our methods
systematically to large family of relevant systems.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 00:24:42 GMT""}]","2007-05-23"
"cs/0012019","Hongsong Chou","Hongsong Chou","A Note on Power-Laws of Internet Topology","16 pages, 3 figures",,,,"cs.NI",,"  The three Power-Laws proposed by Faloutsos et al(1999) are important
discoveries among many recent works on finding hidden rules in the seemingly
chaotic Internet topology. In this note, we want to point out that the first
two laws discovered by Faloutsos et al(1999, hereafter, {\it Faloutsos' Power
Laws}) are in fact equivalent. That is, as long as any one of them is true, the
other can be derived from it, and {\it vice versa}. Although these two laws are
equivalent, they provide different ways to measure the exponents of their
corresponding power law relations. We also show that these two measures will
give equivalent results, but with different error bars. We argue that for nodes
of not very large out-degree($\leq 32$ in our simulation), the first Faloutsos'
Power Law is superior to the second one in giving a better estimate of the
exponent, while for nodes of very large out-degree($> 32$) the power law
relation may not be present, at least for the relation between the frequency of
out-degree and node out-degree.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 15:26:19 GMT""}]","2007-05-23"
"gr-qc/0012081","Burkhard Kleihaus","B. Kleihaus (University College, Dublin) and J. Kunz (University
  Oldenburg)","Rotating Hairy Black Holes","13 pages, including 4 eps figures, LaTex format","Phys.Rev.Lett. 86 (2001) 3704-3707","10.1103/PhysRevLett.86.3704",,"gr-qc",,"  We construct stationary black holes in SU(2) Einstein-Yang-Mills theory,
which carry angular momentum and electric charge. Possessing non-trivial
non-abelian magnetic fields outside their regular event horizon, they represent
non-perturbative rotating hairy black holes.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 16:03:42 GMT""}]","2009-10-31"
"gr-qc/0012082","Pavlov","Yu. V. Pavlov","Nonconformal Scalar Field in a Homogeneous Isotropic Space and the
  Method of Hamiltonian Diagonalization","to be published in Theor. Math. Phys","Theor.Math.Phys.126:92-100,2001","10.1023/A:1005206315688",,"gr-qc",,"  The diagonalization of the metrical Hamiltonian of a scalar field with an
arbitrary coupling with a curvature in N-dimensional homogeneous isotropic
space is performed. The energy spectrum of the corresponding quasiparticles is
obtained. The energies of the quasiparticles corresponding to the diagonal form
of the canonical Hamiltonian are calculated. The modified energy-momentum
tensor with the following properties is constructed. It coincides with the
metrical energy-momentum tensor for conformal scalar field. Under its
diagonalization the energies of relevant particles of a nonconformal field
coincide to the oscillator frequencies and the density of such particles
created in a nonstationary metric is finite. It is shown that the Hamiltonian
calculated with the modified energy-momentum tensor can be constructed as a
canonical Hamiltonian under the special choice of variables.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 16:15:34 GMT""}]","2011-02-15"
"gr-qc/0012083","Haret Rosu","H.C. Rosu","Noninertial quantum mechanical fluctuations","21 pages, 1 figure, final version to appear in the book edited by
  Novello, Visser, Volovik on artificial black holes","Artificial Black Holes (World Scientific, 2002) pp 307-334",,,"gr-qc",,"  Zero point quantum fluctuations as seen from non-inertial reference frames
are of interest for several reasons. In particular, because phenomena such as
Unruh radiation (acceleration radiation) and Hawking radiation (quantum leakage
from a black hole) depend intrinsically on both quantum zero-point fluctuations
and some appropriate notion of an accelerating vacuum state, any experimental
test of zero-point fluctuations in non-inertial frames is implicitly a test of
the foundations of quantum field theory, and the Unruh and Hawking effects
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 21:09:06 GMT""},{""version"":""v2"",""created"":""Mon, 16 Apr 2001 05:28:24 GMT""},{""version"":""v3"",""created"":""Mon, 5 Nov 2001 04:54:47 GMT""}]","2007-05-23"
"gr-qc/0012084","David Brown","David Brown","Rotational Instabilities in Post-Collapse Stellar Cores","12 pages, 10 figures; prepared for the proceedings of the workshop on
  Astrophysical Sources of Gravitational Radiation",,,,"gr-qc astro-ph",,"  A core-collapse supernova might produce large amplitude gravitational waves
if, through the collapse process, the inner core can aquire enough rotational
energy to become dynamically unstable. In this report I present the results of
3-D numerical simulations of core collapse supernovae. These simulations
indicate that for some initial conditions the post-collapse inner core is
indeed unstable. However, for the cases considered, the instability does not
produce a large gravitational-wave signal.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 21:58:10 GMT""}]","2007-05-23"
"gr-qc/0012085","Alberto Saa","E. Gunzig, A. Saa, L. Brenig, V. Faraoni, T.M. Rocha Filho, and A.
  Figueiredo","Superinflation, quintessence, and nonsingular cosmologies","4 pages, 2 figures","Phys.Rev. D63 (2001) 067301","10.1103/PhysRevD.63.067301",,"gr-qc",,"  The dynamics of a universe dominated by a self-interacting nonminimally
coupled scalar field are considered. The structure of the phase space and
complete phase portraits are given. New dynamical behaviors include
superinflation ($\dot{H}>0$), avoidance of big bang singularities through
classical birth of the universe, and spontaneous entry into and exit from
inflation. This model is promising for describing quintessence as a
nonminimally coupled scalar field.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 23:07:11 GMT""}]","2009-10-31"
"gr-qc/0012086","Jean-Paul Mbelek","J.P. Mbelek and M. Lachieze-Rey","Theoretical Necessity of an External Scalar Field in the Kaluza-Klein
  Theory (I)","11 pages, LaTeX2e. Submitted to Classical and Quantum Gravity",,,,"gr-qc",,"  We show that the principle of least action is generally inconsistent with the
usual Kaluza-Klein program, the higher dimensional Einstein-Hilbert action
being unbounded from below. This inconsistency is also present in other
theories with higher dimensions like supergravity. Hence, we conclude to the
necessity of an external scalar field to compensate this flaw.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 00:29:51 GMT""}]","2007-05-23"
"gr-qc/0012087","T. P. Singh","T. P. Singh","Comparing quantum black holes and naked singularities","13 pages, 1 figure, based on a talk given at JGRG10, Osaka, Sep.
  2000. To appear in the Conference Proceedings",,,,"gr-qc",,"  There are models of gravitational collapse in classical general relativity
which admit the formation of naked singularities as well as black holes. These
include fluid models as well as models with scalar fields as matter. Even if
fluid models were to be regarded as unphysical in their matter content, the
remaining class of models (based on scalar fields) generically admit the
formation of visible regions of finite but arbitrarily high curvature. Hence it
is of interest to ask, from the point of view of astrophysics, as to what a
stellar collapse leading to a naked singularity (or to a visible region of very
high curvature) will look like, to a far away observer. The emission of energy
during such a process may be divided into three phases - (i) the classical
phase, during which matter and gravity can both be treated according to the
laws of classical physics, (ii) the semiclassical phase, when gravity is
treated classically but matter behaves as a quantum field, and (iii) the
quantum gravitational phase. In this review, we first give a summary of the
status of naked singularities in classical relativity, and then report some
recent results comparing the semiclassical phase of black holes with the
semiclassical phase of spherical collapse leading to a naked singularity. In
particular, we ask how the quantum particle creation during the collapse
leading to a naked singularity compares with the Hawking radiation from a star
collapsing to form a black hole. It turns out that there is a fundamental
difference between the two cases. A spherical naked star emits only about one
Planck energy during its semiclassical phase, and the further evolution can
only be determined by the laws of quantum gravity. This contrasts with the
semiclassical evaporation of a black hole.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 11:55:48 GMT""}]","2007-05-23"
"gr-qc/0012088","Volker Perlick","Thoralf Chrobok and Volker Perlick","Classification of image distortions in terms of Petrov types","22 pages, 8 eps-figures; revised version, parts of Introduction and
  Conclusions rewritten","Class.Quant.Grav.18:3059,2001","10.1088/0264-9381/18/15/318","AEI-2000-083","gr-qc",,"  An observer surrounded by sufficiently small spherical light sources at a
fixed distance will see a pattern of elliptical images distributed over the
sky, owing to the distortion effect (shearing effect) of the spacetime geometry
upon light bundles. In lowest non-trivial order with respect to the distance,
this pattern is completely determined by the conformal curvature tensor (Weyl
tensor) at the observation event. In this paper we derive formulas that allow
to calculate these distortion patterns in terms of the Newman-Penrose
formalism. Then we represent the distortion patterns graphically for all Petrov
types, and we discuss their dependence on the velocity of the observer.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 14:42:21 GMT""},{""version"":""v2"",""created"":""Mon, 30 Jul 2001 17:56:23 GMT""}]","2014-11-17"
"hep-ex/0012045","J. E. Duboscq","J. Duboscq","A Biased Review of Tau Neutrino Mass Limits","9 pages, 5 figures, 2 tables. To appear in the Proceedings of the
  Sixth International Workshop on Tau Lepton Physics, Sept 18-21 2000, Victoria
  (Canada)","Nucl.Phys.Proc.Suppl. 98 (2001) 48-56","10.1016/S0920-5632(01)01194-X","CLNS00/1714","hep-ex",,"  After a quick review of astrophysically relevant limits, I present a summary
of MeV scale tau neutrino mass limits derived from accelerator based
experiments.
  I argue that the current published limits appear to be too consistent, and
that we therefore cannot conclude that the tau neutrino mass limit is as low as
usually claimed. I provide motivational arguments calling into question the
assumed statistical properties of the usual maxumum likelihood estimators, and
provide a prescription for deriving a more robust and understandable mass
limit.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 18:38:58 GMT""}]","2016-08-31"
"hep-ex/0012046","Iain Bertram","D0 collaboration, B. Abbott, et al","High-p_T Jets in pbarp Collisions at sqrt{s} = 630 and 1800 GeV","158 pages, 105 figures, submitted to Phys. Rev. D. Corrected missing
  citation on page 137 (should be [55])","Phys.Rev.D64:032003,2001","10.1103/PhysRevD.64.032003","Fermilab-Pub-00/216-E","hep-ex",,"  Results are presented from analyses of jet data produced in pbarp collisions
at sqrt{s} = 630 and 1800 GeV collected with the DO detector during the 1994-95
Fermilab Tevatron Collider run. We discuss details of detector calibration, and
jet selection criteria in measurements of various jet production cross sections
at sqrt{s} = 630 and 1800 GeV. The inclusive jet cross sections, the dijet mass
spectrum, the dijet angular distributions, and the ratio of inclusive jet cross
sections at sqrt{s} = 630 and 1800 GeV are compared to next-to-leading-order
QCD predictions. The order alpha_s^3 calculations are in good agreement with
the data. We also use the data at sqrt{s} = 1800 GeV to rule out models of
quark compositeness with a contact interaction scale less than 2.2 TeV at the
95% confidence level.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 19:06:25 GMT""},{""version"":""v2"",""created"":""Tue, 2 Jan 2001 17:37:56 GMT""}]","2009-09-25"
"hep-ex/0012047","Valery Telnov","Valery Telnov (Institute of Nuclear Physics, Novosibirsk, Russia)","Problems of multi-TeV photon colliders","19 pages, Latex, 10 figures(ps,eps), Talk at International Workshop
  on High Energy Photon Colliders; June 14-17, 2000, DESY, Hamburg, Germany; to
  be published in Nucl. Instr. and Methods A, some misprints and refs.5,14 are
  corrected","Nucl.Instrum.Meth. A472 (2001) 280-290","10.1016/S0168-9002(01)01196-2",,"hep-ex hep-ph physics.acc-ph physics.optics",,"  A high energy photon collider (gamma-gamma, gamma-electron) based on backward
Compton scattering of laser light is a very natural supplement to e+e- a linear
collider and can significantly enrich the physics program. The region below
about one 0.5-1 TeV is very convenient from a technical point of view: wave
length of the laser should be about 1 micron, i.e. in the region of most
powerful solid state lasers, collision effects do not restrict the gamma-gamma
luminosity. In the multi-TeV energy region the situation is more complicated:
the optimum laser wave length increases in proportionally with the energy, the
required flash energy also increases due to nonlinear effects in the Compton
scattering; bunch trains are shorter (for warm high gradient linacs), this
leads to higher backgrounds; the collision effects (coherent pair e+e- pair
creation) restrict the luminosity. These problems and possible solutions are
discussed in this paper. A method of laser focusing is considered which allows
the decrease of the required laser flash energy and the practical elimination
of the problem of nonlinear effects in Compton scattering; a way to reduce
collision effects and obtain ultimate gamma-gamma luminosities at multi-TeV
photon colliders is suggested.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 20:43:18 GMT""},{""version"":""v2"",""created"":""Sat, 9 Jun 2001 09:15:29 GMT""}]","2009-10-31"
"hep-ex/0012048","Jonathan M. Link","FOCUS Collaboration: Jonathan M. Link (University of California,
  Davis)","A Study of the Decay D0->K+pi-","10 pages, 1 table and 4 figures","Phys.Rev.Lett.86:2955-2958,2001","10.1103/PhysRevLett.86.2955","Fermilab-Pub-00/341-E","hep-ex",,"  Using a large sample of photoproduced charm mesons from the FOCUS experiment
at Fermilab (FNAL-E831), we observe the decay $D^0\to K^+\pi^-$ with a signal
yield of $149\pm31$ events compared to a similarly cut sample consisting of
$36760 \pm 195$ $D^0\to K^-\pi^+$ events. We use the observed ratio of $D^0\to
K^+\pi^-$ to $D^0\to K^-\pi^+$ $(0.404\pm 0.085\pm 0.025)%$ to obtain a
relationship between the $D^0$ mixing and doubly Cabibbo suppressed decay
parameters.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 21:17:24 GMT""}]","2016-08-31"
"hep-ex/0012049","C. Andrew Miller","HERMES Collaboration: A. Airapetian","Hadron Formation in Deep-Inelastic Positron Scattering in a Nuclear
  Environment","10 pages, 5 figures, LaTex (RevTeX)","Eur.Phys.J.C20:479-486,2001","10.1007/s100520100697","DESY-00-191","hep-ex",,"  The influence of the nuclear medium on the production of charged hadrons in
semi-inclusive deep-inelastic scattering has been studied by the HERMES
experiment at DESY using a 27.5 GeV positron beam. The differential
multiplicity of charged hadrons and identified charged pions from nitrogen
relative to that from deuterium has been measured as a function of the virtual
photon energy \nu and the fraction z of this energy transferred to the hadron.
There are observed substantial reductions of the multiplicity ratio R_M^h at
low \nu and at high z, both of which are well described by a
gluon-bremsstrahlung model of hadronization. A significant difference of the
\nu-dependence of R_M^h is found between positive and negative hadrons. This is
interpreted in terms of a difference between the formation times of protons and
pions, using a phenomenological model to describe the \nu- and z-dependence of
R_M^h.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:15:20 GMT""}]","2009-01-07"
"hep-ex/0012050","Dimitrios Nikas","D. Nikas (1), V. Castillo (1), L. Kowalski (2), R. Larsen (1), D. M.
  Lazarus(1), C. Ozben(1), Y. K. Semertzidis(1), T. Tsang(1), T.
  Srinivasan-Rao(1). ((1) Brookhaven National Laboratory) ((2) Montclair State
  University)","ElectroOptical measurements of ultrashort 45 MeV electron beam bunch","3 Pages, 1 figure. Presented at DPF2000 conference at Ohio","Int.J.Mod.Phys. A16S1C (2001) 1150-1152","10.1142/S0217751X01009168",,"hep-ex",,"  We have made an observation of 45 MeV electron beam bunches using the
nondestructive electro-optical (EO) technique. The amplitude of the EO
modulation was found to increase linearly with electron beam charge and
decrease inversely with the optical beam path distance from the electron beam.
The risetime of the signal was bandwidth limited by our detection system to
\~70ps. An EO signal due to ionization caused by the electrons traversing the
EO crystal was also observed. The EO technique may be ideal for the measurement
of bunch structure with femtosecond resolution of relativistic charged particle
beam bunches.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:43:02 GMT""}]","2009-10-31"
"hep-ex/0012051","Eckhard Elsen","H1 Collaboration: C.Adloff, et al","Diffractive Jet Production in Deep-Inelastic e^+p Collisions at HERA","35 pages, 12 figures, 7 tables","Eur.Phys.J.C20:29-49,2001","10.1007/s100520100634","DESY 00-174","hep-ex",,"  A measurement is presented of dijet and 3-jet cross sections in low-|t|
diffractive deep-inelastic scattering interactions of the type ep -> eXY, where
the system X is separated by a large rapidity gap from a low-mass baryonic
system Y. Data taken with the H1 detector at HERA, corresponding to an
integrated luminosity of 18.0 pb^(-1), are used to measure hadron level single
and double differential cross sections for 4<Q^2<80 GeV^2, x_pom<0.05 and
p_(T,jet)>4 GeV. The energy flow not attributed to jets is also investigated.
The measurements are consistent with a factorising diffractive exchange with
trajectory intercept close to 1.2 and tightly constrain the dominating
diffractive gluon distribution. Viewed in terms of the diffractive scattering
of partonic fluctuations of the photon, the data require the dominance of
qqbarg over qqbar states. Soft colour neutralisation models in their present
form cannot simultaneously reproduce the shapes and the normalisations of the
differential cross sections. Models based on 2-gluon exchange are able to
reproduce the shapes of the cross sections at low x_pom values.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 06:43:24 GMT""}]","2008-11-26"
"hep-ex/0012052","Eckhard Elsen","H1 Collaboration, C.Adloff, et al","Measurement of Neutral and Charged Current Cross Sections in
  Electron-Proton Collisions at High Q^2","39 pages, 10 figures, 10 tables","Eur.Phys.J.C19:269-288,2001","10.1007/s100520100607","DESY 00-187","hep-ex",,"  The inclusive e^-p single and double differential cross sections for neutral
and charged current processes are measured with the H1 detector at HERA, in the
range of four-momentum transfer squared Q^2 between 150 and 30000 GeV^2, and
Bjorken x between 0.002 and 0.65. The data were taken in 1998 and 1999 with a
centre-of-mass energy of 320 GeV and correspond to an integrated luminosity of
16.4 pb^(-1). The data are compared with recent measurements of the inclusive
neutral and charged current e^+p cross sections. For Q^2>1000 GeV^2 clear
evidence is observed for an asymmetry between e^+p and e^-p neutral current
scattering and the generalised structure function xF_3 is extracted for the
first time at HERA. A fit to the charged current data is used to extract a
value for the W boson propagator mass. The data are found to be in good
agreement with Standard Model predictions.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 07:55:58 GMT""}]","2009-01-07"
"hep-ex/0012053","Eckhard Elsen","H1 Collaboration: C.Adloff, et al","Deep-Inelastic Inclusive ep Scattering at Low x and a Determination of
  alpha_s","68 pages, 24 figures and 18 tables","Eur.Phys.J.C21:33-61,2001","10.1007/s100520100720","DESY 00-181","hep-ex",,"  A precise measurement of the inclusive deep-inelastic e^+p scattering cross
section is reported in the kinematic range 1.5<= Q^2 <=150 GeV^2 and
3*10^(-5)<= x <=0.2. The data were recorded with the H1 detector at HERA in
1996 and 1997, and correspond to an integrated luminosity of 20 pb^(-1). The
double differential cross section, from which the proton structure function
F_2(x,Q^2) and the longitudinal structure function F_L(x,Q^2) are extracted, is
measured with typically 1% statistical and 3% systematic uncertainties. The
measured partial derivative (dF_2(x,Q^2)/dln Q^2)_x is observed to rise
continuously towards small x for fixed Q^2. The cross section data are combined
with published H1 measurements at high Q^2 for a next-to-leading order DGLAP
QCD analysis.The H1 data determine the gluon momentum distribution in the range
3*10^(-4)<= x <=0.1 to within an experimental accuracy of about 3% for Q^2 =20
GeV^2. A fit of the H1 measurements and the mu p data of the BCDMS
collaboration allows the strong coupling constant alpha_s and the gluon
distribution to be simultaneously determined. A value of alpha
_s(M_Z^2)=0.1150+-0.0017 (exp) +0.0009-0.0005 (model) is obtained in NLO, with
an additional theoretical uncertainty of about +-0.005, mainly due to the
uncertainty of the renormalisation scale.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 10:06:36 GMT""}]","2010-03-25"
"hep-ex/0012054","Preprints Libr/pam","G. Bonvicini, et al, CLEO Collaboration","Search for CP Violation in $D^{0}\to K_{S}^{0}\pi^{0}$, $D^{0}\to
  \pi^{0}\pi^{0}$ and $D^{0}\to K_{S}^{0}K_{S}^{0}$","11 pages postscript, also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.D63:071101,2001","10.1103/PhysRevD.63.071101","CLNS00/1708, CLEO 00-27","hep-ex",,"  We have searched for CP-violating asymmetries in neutral charm meson decays
in 13.7 fb^-1 of e^+e^- collision data at sqrt{s} = 10.6 GeV with the CLEO
detector. The measured asymmetries in the rate of D0 and D0bar decays to
K0sPi0, Pi0Pi0 and K0sK0s final states are (+0.1 +- 1.3)%, (+0.1 +- 4.8)% and
(-23 +- 19)%, respectively.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 13:25:00 GMT""}]","2010-04-08"
"hep-lat/0012024","Daniel Zwanziger","Attilio Cucchieri and Daniel Zwanziger","Fit to Gluon Propagator and Gribov Formula","8 pages, 5 figures; minor modifications in the text; added
  references; corrected typos","Phys.Lett. B524 (2002) 123-128","10.1016/S0370-2693(01)01365-X",,"hep-lat",,"  We report a numerical study of SU(2) lattice gauge theory in the minimal
Coulomb gauge at beta = 2.2 and 9 different volumes. After extrapolation to
infinite volume, our fit agrees with a lattice discretization of Gribov's
formula for the transverse equal-time would-be physical gluon propagator, that
vanishes like |k| at k = 0, whereas the free equal-time propagator (2|k|)^{-1}
diverges. Our fit lends reality to a confinement scenario in which the would-be
physical gluons leave the physical spectrum while the long-range Coulomb force
confines color.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 18:07:32 GMT""},{""version"":""v2"",""created"":""Wed, 24 Oct 2001 13:26:23 GMT""},{""version"":""v3"",""created"":""Mon, 12 Nov 2001 19:05:45 GMT""}]","2009-10-31"
"hep-ph/0012260","Thomas Hahn","T. Hahn","Generating Feynman Diagrams and Amplitudes with FeynArts 3","10 pages, minor changes in the text and markup, version to appear in
  Comp. Phys. Comm","Comput.Phys.Commun. 140 (2001) 418-431","10.1016/S0010-4655(01)00290-9","KA-TP-23-2000","hep-ph",,"  This paper describes the Mathematica package FeynArts used for the generation
and visualization of Feynman diagrams and amplitudes. The main features of
version 3 are: generation of diagrams at three levels, user-definable model
files, support for supersymmetric models, and publication-quality Feynman
diagrams in PostScript or LaTeX.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 19:20:02 GMT""},{""version"":""v2"",""created"":""Wed, 16 May 2001 16:07:13 GMT""}]","2009-10-31"
