"astro-ph/0011231","Michael Kachelriess","M. Kachelriess","Ultrahigh energy cosmic rays and new particle physics","14 pages, 5 figures. Invited talk at ``CAPP-2K'', Verbier, July 2000",,"10.1063/1.1363517","CERN-TH 2000-324","astro-ph hep-ph",,"  The current status of the ultrahigh energy cosmic ray (UHE CR) enigma and
several proposed solutions involving particle physics beyond the standard model
are discussed. Emphasis is given to top--down models, and as a main example,
supermassive dark matter as galactic source for UHE CR and the status of its
experimental signatures (galactic anisotropy, chemical composition and
clustering) is reviewed. Then different approaches to calculate fragmentation
spectra of supermassive particles are discussed. Finally, it is argued that UHE
neutrinos cannot be - neither directly or indirectly - responsible for the
observed vertical air showers.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 20:03:05 GMT""}]","2009-10-31"
"hep-th/0011107","Wolfgang Lerche","W. Lerche and J. Walcher","Boundary Rings and N=2 Coset Models","40p, 5 figs, refs added, typos and minor errors corrected","Nucl.Phys.B625:97-127,2002","10.1016/S0550-3213(02)00019-6","CERN-TH/2000-335, ETH-TH/00-11","hep-th",,"  We investigate boundary states of N=2 coset models based on Grassmannians
Gr(n,n+k), and find that the underlying intersection geometry is given by the
fusion ring of U(n). This is isomorphic to the quantum cohomology ring of
Gr(n,n+k+1), and thus can be encoded in a ``boundary'' superpotential whose
critical points correspond to the boundary states. In this way the intersection
properties can be represented in terms of a soliton graph that forms a
generalized, Z_{n+k+1} symmetric McKay quiver. We investigate the spectrum of
bound states and find that the rational boundary CFT produces only a small
subset of the possible quiver representations.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:32:56 GMT""},{""version"":""v2"",""created"":""Sat, 23 Dec 2000 12:54:17 GMT""}]","2008-11-26"
"hep-th/0011108","Dennis Nemeschansky","D.Nemeschansky and V. Yasnov","Background Independent Open String Field Theory and Constant B-Field","11 pages",,,,"hep-th",,"  We calculate the background independent action for bosonic and supersymmetric
open string field theory in a constant B-field. We also determine the tachyon
effective action in the presence of constant B-field.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:38:24 GMT""}]","2007-05-23"
"hep-th/0011109","Christoph Schweigert","C. Schweigert, J. Fuchs, J. Walcher","Conformal field theory, boundary conditions and applications to string
  theory","45 pages, LaTeX2e",,"10.1142/9789812799968_0002","PAR-LPTHE 00-41, CERN-TH/2000-328, ETH-TH/00-10, IHP-2000/02","hep-th math.AG math.QA",,"  This is an introduction to two-dimensional conformal field theory and its
applications in string theory. Modern concepts of conformal field theory are
explained, and it is outlined how they are used in recent studies of D-branes
in the strong curvature regime by means of CFT on surfaces with boundary.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 20:00:41 GMT""}]","2017-08-23"
"hep-th/0011110","Sean Carroll","Sean M. Carroll","TASI Lectures: Cosmology for String Theorists","56 pages, 3 figures; Lectures at TASI-99. Now with table of contents,
  not to mention new references",,"10.1142/9789812799630_0004","EFI-2000-45","hep-th astro-ph hep-ph",,"  These notes provide a brief introduction to modern cosmology, focusing
primarily on theoretical issues. Some attention is paid to aspects of potential
interest to students of string theory, on both sides of the two-way street of
cosmological constraints on string theory and stringy contributions to
cosmology. Slightly updated version of lectures at the 1999 Theoretical
Advanced Study Institute at the University of Colorado, Boulder.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 20:17:45 GMT""},{""version"":""v2"",""created"":""Thu, 30 Nov 2000 23:58:29 GMT""}]","2017-08-23"
"hep-th/0011111","Zurab Kakushadze","Alberto Iglesias and Zurab Kakushadze","Solitonic Brane World with Completely Localized (Super)Gravity","28 pages, revtex; a reference and clarifying remarks added","Int.J.Mod.Phys. A16 (2001) 3603-3631","10.1142/S0217751X0100489X","YITP-00-59","hep-th gr-qc hep-ph",,"  We construct a solitonic 3-brane solution in the 5-dimensional
Einstein-Hilbert-Gauss-Bonnet theory. This solitonic brane is delta-function
like, and has the property that gravity is completely localized on the brane.
That is, there are no propagating degrees of freedom in the bulk, while on the
brane we have purely 4-dimensional Einstein gravity. Thus, albeit the classical
background is 5-dimensional, the quantum theory (perturbatively) is
4-dimensional. Our solution can be embedded in the supergravity context, where
we have completely localized supergravity on the corresponding solitonic brane,
which is a BPS object preserving 1/2 of the original supersymmetries. By
including a scalar field, we also construct a smooth domain wall solution,
which in a certain limit reduces to the delta-function-like solitonic brane
solution (this is possible for the latter breaks diffeomorphisms only
spontaneously). We then show that in the smooth domain wall background the only
normalizable mode is the 4-dimensional graviton zero mode, while all the other
(including massive Kaluza-Klein) modes are not even plane-wave normalizable.
Finally, we observe that in compactifications of Type IIB on 5-dimensional
Einstein manifolds other than a 5-sphere the corresponding dual gauge theories
on D3-branes are not conformal in the ultra-violet, and at the quantum level we
expect the Einstein-Hilbert term to be generated in their world-volumes. We
conjecture that in full string theory on Type IIB side this is due to higher
curvature terms, which cannot be ignored in such backgrounds. A stronger
version of this conjecture also states that (at least in some cases) in such
backgrounds D3-branes are solitonic objects with completely localized
(super)gravity in their world-volumes.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 21:25:29 GMT""},{""version"":""v2"",""created"":""Wed, 15 Nov 2000 23:05:16 GMT""},{""version"":""v3"",""created"":""Tue, 12 Dec 2000 23:50:44 GMT""}]","2009-10-31"
"hep-th/0011112","Ruslan Metsaev","R.R.Metsaev","Light-cone Form of Field Dynamics in AdS space-time","4 pages, LaTeX, Talk given at The Meeting of The Division of
  Particles and Fields of The American Physical Society, August 9-12, 2000, The
  Ohio State University, Columbus, Ohio, USA","Int.J.Mod.Phys. A16S1C (2001) 994-997","10.1142/S0217751X01008692","FIAN/TD/00-17, OHSTPY-HEP-T-00-027","hep-th",,"  Light-cone approach to field dynamics in AdS space-time is discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 22:48:34 GMT""}]","2009-10-31"
"hep-th/0011113","Tonnis ter Veldhuis","Daniele Binosi, Tonnis ter Veldhuis","Domain walls in supersymmetric QCD: The taming of the zoo","LaTeX2e,13 pages, 6 (.eps) figures, 2 tables","Phys.Rev. D63 (2001) 085016","10.1103/PhysRevD.63.085016","TPI-MINN-00/53-T,UMN-TH-1929/00,FTUV/001113,IFIC/00-69","hep-th",,"  We provide a unified picture of the domain wall spectrum in supersymmetric
QCD with Nc colors and Nf flavors of quarks in the (anti-) fundamental
representation. Within the framework of the Veneziano-Yankielowicz-Taylor
effective Lagrangian, we consider domain walls connecting chiral symmetry
breaking vacua, and we take the quark masses to be degenerate. For Nf/Nc<1/2,
there is one BPS saturated domain wall for any value of the quark mass m. For
1/2=<Nf/Nc<1 there are two critical masses, m* and m**, which depend on the
number of colors and flavors only through the ratio Nf/Nc; if m<m*, there are
two BPS walls, if m*<m<m** there is one non-BPS wall, and if m>m** there is no
domain wall. We numerically determine m* and m** as a function of Nf/Nc, and we
find that m** approaches a constant value in the limit that this ratio goes to
one.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 23:45:20 GMT""},{""version"":""v2"",""created"":""Thu, 8 Feb 2001 19:52:39 GMT""}]","2009-10-31"
"hep-th/0011114","Katrin Becker","Katrin Becker","A Note on Compactifications on Spin(7)-Holonomy Manifolds","10 pages, TeX, expanded version, one statement corrected","JHEP 0105:003,2001","10.1088/1126-6708/2001/05/003","CALT-68-2305","hep-th",,"  In this note we consider compactifications of ${\cal M}$-theory on
$Spin(7)$-holonomy manifolds to three-dimensional Minkowski space. In these
compactifications a warp factor is included. The conditions for unbroken N=1
supersymmetry give rise to determining equations for the 4-form field strength
in terms of the warp factor and the self-dual 4-form of the internal manifold.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 23:55:39 GMT""},{""version"":""v2"",""created"":""Sun, 26 Nov 2000 17:28:18 GMT""},{""version"":""v3"",""created"":""Mon, 19 Mar 2001 20:58:33 GMT""}]","2010-02-03"
"hep-th/0011115","Shin'ichi Nojiri","Shin'ichi Nojiri and Sergei D. Odintsov","AdS/CFT correspondence, conformal anomaly and quantum corrected entropy
  bounds","LaTeX file, 21 pages","Int.J.Mod.Phys.A16:3273-3290,2001","10.1142/S0217751X01004128",,"hep-th",,"  The role of conformal anomaly in AdS/CFT and related issues is clarified. The
comparison of holographic and QFT conformal anomalies (with account of brane
quantum gravity contribution) indicates on the possibility for brane quantum
gravity to occur within AdS/CFT set-up. 3d quantum induced inflationary (or
hyperbolic) brane-world is shown to be realized in frames of AdS3/CFT2
correspondence where the role of 2d brane cosmological constant is played by
effective tension due to two-dimensional conformal anomaly. The dynamical
equations to describe 4d FRW-Universe with account of quantum effects produced
by conformal anomaly are obtained. The quantum corrected energy, pressure and
entropy are found. Dynamical evolution of entropy bounds in inflationary
Universe is estimated and its comparison with quantum corrected entropy is
done. It is demonstrated that entropy bounds for quantum corrected entropy are
getting the approximate ones and occur for some limited periods of evolution of
inflationary Universe.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 01:18:55 GMT""}]","2009-09-17"
"hep-th/0011116","DaeKil Park","D. K. Park, S. Tamaryan, Y. -G. Miao, H. J. W. M\""uller-Kirsten","Tunneling of Born-Infeld Strings to D2-Branes","20 pages, 7 postscript figures, will appear in NPB","Nucl.Phys. B606 (2001) 84-100","10.1016/S0550-3213(01)00131-6",,"hep-th",,"  A Born-Infeld theory describing a D2-brane coupled to a 4-form RR field
strength is considered, and the general solutions of the static and Euclidean
time equations are derived and discussed. The period of the bounce solutions is
shown to allow a consideration of tunneling and quantum-classical transitions
in the sphaleron region. The order of such transitions, depending on the
strength of the RR field strength, is determined. A criterion is then derived
to confirm these findings.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 06:12:34 GMT""},{""version"":""v2"",""created"":""Wed, 7 Mar 2001 17:10:01 GMT""}]","2009-10-31"
"hep-th/0011117","Dmitri Belov","I. Ya. Aref'eva, D. M. Belov, A. S. Koshelev, P. B. Medvedev","Tachyon condensation in cubic superstring field theory","19 pages, LaTeX, 3 figures. Eqs. (3.2), (3.3) and (4.6) are
  corrected, and new gauge fixing condition is used","Nucl.Phys.B638:3-20,2002","10.1016/S0550-3213(02)00472-8",,"hep-th",,"  It has been conjectured that at the stationary point of the tachyon potential
for the non-BPS D-brane or brane-anti-D-brane pair, the negative energy density
cancels the brane tension. We study this conjecture using a cubic superstring
field theory with insertion of a double-step inverse picture changing operator.
We compute the tachyon potential at levels (1/2,1) and (2,6). In the first case
we obtain that the value of the potential at the minimum is 97.5% of the non
BPS D-brane tension. Using a special gauge in the second case we get 105.8% of
the tension.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 06:49:46 GMT""},{""version"":""v2"",""created"":""Mon, 30 Apr 2001 11:00:07 GMT""},{""version"":""v3"",""created"":""Mon, 23 Jul 2001 18:11:19 GMT""}]","2008-11-26"
"hep-th/0011118","Jihn E. Kim","Jihn E. Kim, Bumseok Kyae, Hyun Min Lee","Model for self-tuning the cosmological constant","LaTeX file of 4 pages, to appear in Phys. Rev. Lett","Phys.Rev.Lett. 86 (2001) 4223-4226","10.1103/PhysRevLett.86.4223",,"hep-th astro-ph hep-ph",,"  The vanishing cosmological constant in the four dimensional space-time is
obtained in a 5D Randall-Sundrum model with a brane (B1) located at $y=0$. The
matter fields can be located at the brane. For settling any vacuum energy
generated at the brane to zero, we need a three index antisymmetric tensor
field $A_{MNP}$ with a specific form for the Lagrangian. For the self-tuning
mechanism, the bulk cosmological constant should be negative.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 11:10:37 GMT""},{""version"":""v2"",""created"":""Wed, 15 Nov 2000 03:25:12 GMT""},{""version"":""v3"",""created"":""Fri, 23 Mar 2001 09:02:38 GMT""}]","2009-10-31"
"hep-th/0011119","Dong Hyun Park","Youngjai Kiem, Dong Hyun Park, and Haru-Tada Sato","Open string derivation of winding states in thermal noncommutative field
  theories","12 pages, latex","Phys.Lett.B499:321-327,2001","10.1016/S0370-2693(01)00041-7",,"hep-th",,"  The `winding state' behavior appears in the two-loop nonplanar contribution
to the partition function in thermal noncommutative field theories. We derive
this feature directly from the purely open string theory analysis in the
presence of the constant background $B$-field; we compute the two-loop
partition function for worldsheets with a handle and a boundary when the time
direction of the Euclideanized target space is compactified. In contrast to the
closed-string-inspired approach, it is not necessary to add infinite number of
extra degrees of freedom. Furthermore, we find a piece of supporting evidence
toward the conjecture that, in the UV limit, the noncommutativity parameter
plays the role of the effective string scale in noncommutative field theories.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 08:37:50 GMT""},{""version"":""v2"",""created"":""Wed, 22 Nov 2000 13:09:26 GMT""}]","2014-11-18"
"hep-th/0011120","Glenn Barnich","Glenn Barnich","Classical and quantum aspects of the extended antifield formalism","94 pages Latex file. These d'agregation ULB (June 2000). Proceedings
  of the Spring School ""QFT and Hamiltonian Systems"", Calimanesti, Romania, May
  2-7, 2000",,,"ULB-TH-00/28","hep-th",,"  Starting from a solution to the classical Batalin-Vilkovisky master
equation,an extended solution to an extended master equation is constructed by
coupling all the observables, the anomaly candidates and the generators of
global symmetries. The construction of the formalism and its applications in
the context of the renormalization of generic and potentially anomalous gauge
theories are reviewed.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 12:01:17 GMT""}]","2007-05-23"
"hep-th/0011121","Changhyun Ahn","Changhyun Ahn and Kyungsung Woo","Supersymmetric Domain Wall and RG Flow from 4-Dimensional Gauged N=8
  Supergravity","latex, 43pages, one figure, four tables; typos corrected, ref.[24]
  added, appendix shortened and to appear in Nucl.Phys.B","Nucl.Phys. B599 (2001) 83-118","10.1016/S0550-3213(01)00008-6",,"hep-th",,"  By studying various, known extrema of 1) SU(3) sectors, 2) SO(5) sectors and
3) SO(3)xSO(3) sectors of gauged N =8 supergravity in four-dimensions, one
finds that the deformation of seven sphere \S^7 gives rise to non-trivial
renormalization group(RG) flow in three-dimensional boundary conformal field
theory from UV fixed point to IR fixed point. For SU(3) sectors, this leads to
four-parameter subspace of the supergravity scalar-gravity action and we
identify one of the eigenvalues of A_1 tensor of the theory with a
superpotential of scalar potential that governs RG flows on this subspace. We
analyze some of the structure of the superpotential and discuss first-order BPS
domain-wall solutions, using some algebraic relations between superpotential
and derivatives of it with respect to fields, that determine a (super)symmetric
kink solution in four-dimensional N =8 supergravity, which generalizes all the
previous considerations. The BPS domain-wall solutions are equivalent to
vanishing of variation of spin 1/2, 3/2 fields in the supersymmetry preserving
bosonic background of gauged N=8 supergravity. For SO(5) sectors, there exist
only nontrivial nonsupersymmetric critical points that are unstable and
included in SU(3) sectors. For SO(3)xSO(3) sectors, we construct the scalar
potential(never been written) explicitly and study explicit construction of
first-order domain-wall solutions.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 13:04:35 GMT""},{""version"":""v2"",""created"":""Thu, 21 Dec 2000 02:51:10 GMT""}]","2009-10-31"
"hep-th/0011122","Yasuhiro Sekino","Yasuhiro Sekino","Supercurrents in Matrix theory and the generalized AdS/CFT
  correspondence","31 pages, Latex; Typos corrected, references added, final version to
  be published in Nucl.Phys.B","Nucl.Phys. B602 (2001) 147-171","10.1016/S0550-3213(01)00126-2","UT-KOMABA/00-14","hep-th",,"  We investigate Matrix theory in the large-N limit following the conjectured
correspondence between Matrix theory and supergravity on the near-horizon limit
of the D0-brane background. We analyze the complete fermionic spectrum of
supergravity and obtain two-point functions of the supercurrents in Matrix
theory. By examining the large-N scaling properties of the correlators, we
discuss the consistency of the 11-dimensional interpretation of the
supersymmetry of Matrix theory.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 13:15:51 GMT""},{""version"":""v2"",""created"":""Fri, 4 May 2001 15:17:53 GMT""}]","2009-10-31"
"hep-th/0011123","Girelli","Florian Girelli","Left-Right Symmetric Models in Noncommutative Geometries?","10 pages, no figures; v2: details added in example 2; abstract,
  introduction and conclusion rewritten to be more explicit; references added","Lett.Math.Phys. 57 (2001) 7-17",,,"hep-th",,"  Left-right symmetric models are analyzed in the context of noncommutative
geometry where we show that spontaneous parity violation is ruled out.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 15:55:00 GMT""},{""version"":""v2"",""created"":""Thu, 30 Nov 2000 08:07:23 GMT""}]","2007-05-23"
"math-ph/0011021","Charles F. Dunkl","Charles F. Dunkl","A Laguerre Polynomial Orthogonality and the Hydrogen Atom","13 pages, LaTeX, new section on Meixner polynomials","Analysis & Appl. 1 (2003), 177-188",,,"math-ph math.CA math.MP",,"  The radial part of the wave function of an electron in a Coulomb potential is
the product of a Laguerre polynomial and an exponential with the variable
scaled by a factor depending on the degree. This note presents an elementary
proof of the orthogonality of wave functions with differing energy levels. It
is also shown that this is the only other natural orthogonality for Laguerre
polynomials. By expanding in terms of the usual Laguerre polynomial basis an
analogous strange orthogonality is obtained for Meixner polynomials.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:08:37 GMT""},{""version"":""v2"",""created"":""Fri, 24 May 2002 15:26:38 GMT""}]","2011-11-09"
"math/0011078","Anthony A. Ruffa","Anthony A. Ruffa","The Generalized Method of Exhaustion","7 pages, 3 figures provided separately as .gif files",,,,"math.CA math-ph math.MP",,"  The method of exhaustion is generalized to a simple formula that can be used
to integrate functions under very general conditions, provided that the
integral exists. Both a geometric proof (following the usual procedure for the
method of exhaustion) and an independent algebraic proof are provided.
Applications provided as examples include use of the formula to generate new
series for common functions as well as computing the group velocity
distribution resulting from waves diffracted from an aperture.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 16:46:01 GMT""}]","2007-05-23"
"math/0011079","Huaxin Lin","Huaxin Lin","Classification of simple $C^*$-algebras of tracial topological rank zero",,,,"MSRI 2000-031","math.OA",,"  We give a classification theorem for unital separable simple nuclear
$C^*$-algebras with tracial topological rank zero which satisfy the Universal
Coefficient Theorem. We prove that if $A$ and $B$ are two such $C^*$-algebras
and $$ (K_0(A), K_0(A)_+, [1_A], K_1(A)) $$ $$ \cong (K_0(B), K_0(B)_+, [1_B],
K_1(B)), $$ then $A\cong B.$
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 18:22:03 GMT""}]","2007-05-23"
"math/0011080","Guosong Zhao","An-Min Li, Renhong Wang, Guosong Zhao, Quan Zheng (Sichuan University,
  China)","A symplectic proof of Seiberg-Witten blow-up formula","12 pages, latex",,,,"math.AG math.DG math.SG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  withdrawn by authors
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 18:43:28 GMT""},{""version"":""v2"",""created"":""Wed, 7 Jan 2009 15:23:25 GMT""}]","2009-01-07"
"math/0011081","David Callan","David Callan","The eigenvectors of the right-justified Pascal triangle","5 pages, LaTeX",,,,"math.CO math.RA",,"  We find the eigenvalues and eigenvectors of the n by n matrix with (i,j)
entry \binom(i-1,n-j), establishing a conjecture of Peele and Stanica.
Curiously, the eigenvectors can be chosen to form a matrix which is its own
inverse.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:30:21 GMT""}]","2007-05-23"
"math/0011082","Robert Friedman","Robert Friedman and John W. Morgan","Minuscule representations, invariant polynomials, and spectral covers","LaTeX, 42 pages, final version, to appear in the proceedings of the
  University of Missouri conference on Hilbert schemes, vector bundles and
  representation theory, new material on extensions and the adjoint
  representation of a simply laced Lie algebra added",,,,"math.AG math.RT",,"  Given a minuscule representation of a simple Lie algebra, we find an
algebraic model for the action of a regular element and show that these models
can be glued together over the adjoint quotient, viewed as the set of all
regular conjugacy classes of the Lie algebra. There are partial results in the
case of a quasiminuscule representation, and a conjecture in the case of a
general irreducible finite-dimensional representation. The method of proof is
to relate the question to a problem concerning holomorphic principal bundles
over cuspidal cubic curves.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 19:38:38 GMT""},{""version"":""v2"",""created"":""Wed, 15 Nov 2000 13:56:52 GMT""},{""version"":""v3"",""created"":""Thu, 12 Sep 2002 18:58:42 GMT""},{""version"":""v4"",""created"":""Mon, 13 Jan 2003 20:39:56 GMT""}]","2007-05-23"
"math/0011083","K. R. Goodearl","K. R. Goodearl and F. Wehrung","Representations of distributive semilattices in ideal lattices of
  various algebraic structures","To appear in Algebra Universalis. Former title: ""Representations of
  distributive semilattices by dimension groups, regular rings, C*-algebras and
  complemented modular lattices""","Algebra Universalis 45 (2001) 71--102",,,"math.OA",,"  We study the relationships among existing results about representations of
distributive semilattices by ideals in dimension groups, von Neumann regular
rings, C*-algebras, and complemented modular lattices. We prove additional
representation results which exhibit further connections with the scattered
literature on these different topics.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 21:14:41 GMT""}]","2007-05-23"
"math/0011084","Florin Radulescu","Florin G. Radulescu","Irreducible subfactors derived from Popa's construction for non-tracial
  states","LaTeX2e amsart class; 17 pages (now single spaced); picture and minor
  corrections added",,,,"math.OA",,"  For an inclusion of the form $\Bbb C\subseteq M_n(\Bbb C)$, where $M_n(\Bbb
C)$ is endowed with a state with diagonal weights $\lambda=(\lambda_1, ...,
\lambda_n)$, we use Popa's construction, for non-tracial states, to obtain an
irreducible inclusion of $II_1$ factors, $N^\lambda(Q)\subseteq M^\lambda(Q) $
of index $\sum \frac{1}{\lambda_i}$. $M^\lambda(Q)$ is identified with a
subfactor inside the centralizer algebra of the canonical free product state on
$Q\star M_N(\Bbb C)$. Its structure is described by ``infinite'' semicircular
elements as in \cite{Ra3}. The irreducible subfactor inclusions obtained by
this method are similar to the first irreducible subfactor inclusions, of index
in $[4,\infty)$ constructed in \cite {Po1}, starting with the Jones' subfactors
inclusion $R^s\subseteq R$, $s>4$. In the present paper, since the inclusion we
start with has a simpler structure, it is easier to control the algebra
structure of the subfactor inclusions.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 22:30:51 GMT""},{""version"":""v2"",""created"":""Tue, 28 Nov 2000 22:15:59 GMT""}]","2007-05-23"
"math/0011085","Vladimir Itskov","Vladimir Itskov","Orbit reduction of exterior differential systems, and group-invariant
  variational problems",,,,,"math.DG math-ph math.MP",,"  For For a given PDE system, or an exterior differential system possessing a
Lie group of internal symmetries the orbit reduction procedure is introduced.
It is proved that the solutions of the reduced exterior differential system are
in one-to-one correspondence with the moduli space of regular solutions of the
prolongation of the original system.
  The isomorphism between the local characteristic cohomology of the reduced
unconstrained jet space and the Lie algebra cohomology of the symmetry group is
established.
  The group-invariant Euler-Lagrange equations of an invariant variational
problem are described as a composition of the Euler-Lagrange operators on the
reduced jet space and certain other differential operators on the reduced jet
space. The practical algorithm of computing these operators is given.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 03:20:45 GMT""},{""version"":""v2"",""created"":""Thu, 4 Jan 2001 22:26:50 GMT""}]","2016-09-07"
"math/0011086","Xiaoping Xu","Yucai Su and Xiaoping Xu","Central Simple Poisson Algebras","22 pages",,,,"math.QA",,"  In this paper, we determine the isomorphism classes of the central simple
Poisson algebras introduced earlier by the second author. The Lie algebra
structures of these Poisson algebras are in general not finitely-graded.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 09:07:04 GMT""}]","2007-05-23"
"math/0011087","Margarida Mendes Lopes","Igor Dolgachev, Margarida Mendes Lopes, Rita Pardini","Surfaces with many nodes","Latex 2e, 17 pages",,,,"math.AG",,"  We describe smooth rational projective algebraic surfaces over an
algebraically closed field of characteristic different from 2 which contain $n
\ge \b_2-2$ disjoint smooth rational curves with self-intersection -2, where
$\b_2$ is the second Betti number. In the last section this is applied to the
study of minimal complex surfaces of general type with $p_g = 0$ and $K^2 = 8,
9$ which admit an automorphism of order 2.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 10:40:19 GMT""}]","2007-05-23"
"math/0011088","Anton Deitmar","Anton Deitmar","Mellin transform of Whittaker functions","LATEX, 18 pages",,,,"math.NT",,"  In this note we show that for an arbitrary semisimple Lie group and any
admissible irreducible Banach representation the Mellin transforms of Whittaker
functions extend to meromorphic functions. We locate the possible poles.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 12:18:25 GMT""},{""version"":""v2"",""created"":""Thu, 16 Nov 2000 11:12:15 GMT""},{""version"":""v3"",""created"":""Wed, 6 Dec 2000 09:59:37 GMT""}]","2007-05-23"
"math/0011089","Dokuchaev","Nikolai Dokuchaev","A new property of absorbed diffusions","6 pages",,,,"math.PR math.OC",,"  We consider stochastic diffusion processes absorbed at the boundary of a
domain. It is shown that there exist initial distributions which ensure a given
decreasing of density of the absorbed process.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 13:36:58 GMT""}]","2007-05-23"
"nlin/0011023","Bogomolny","E. Bogomolny","Spectral statistics and periodic orbits","41 pages, no figures","Proceedins of Varenna lectures, Course CXLIII, July 1999, pp.
  333-369",,,"nlin.CD",,"  The main purpose of these lectures is to discuss briefly recent methods of
calculation of statistical properties of quantum eigenvalues for chaotic
systems based on semi-classical trace formulas. Under the assumption that
periodic orbit actions are non-commensurable it is demonstrated by a few
different methods that the spectral statistics of chaotic systems without
time-reversal invariance in the universal limit agrees with statistics of the
Gaussian Unitary Ensemble of random matrices. The methods used permit to obtain
not only the limiting statistics but also the way the spectral statistics of
dynamical systems tends to the universal limit. The statistics of the Riemann
zeta function zeros is considered in details.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 11:36:56 GMT""}]","2007-05-23"
"nlin/0011024","Bogomolny","E.Bogomolny","Trace formulas and spectral statistics of diffractive systems","16 pages, no figures","Proceedings of the 3 European Congress of Mathematicians,
  Barcelona, June 2000",,,"nlin.CD",,"  Diffractive systems are quantum-mechanical models with point-like
singularities where usual semiclassical approximation breaks down. An overview
of recent investigations of such systems is presented. The following examples
are considered in details: (i) billiards (both integrable and chaotic) with
small-size scatterers, (ii) pseudo-integrable polygonal plane billiards, and
(iii) billiards with the Bohr-Aharonov flux lines. First, the diffractive trace
formulas are discussed with particular emphasis on models where the diffractive
coefficient diverges in certain directions. Second, it is demonstrated that the
spectral statistics of diffractive models are different from the statistics of
both integrable and chaotic systems. The main part of the paper is devoted to
analytical calculations of spectral statistics for certain diffractive models.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 13:17:18 GMT""}]","2007-05-23"
"nucl-ex/0011008","Ronald D. Ransome","S. Dieterich, P. Bartsch, D. Baumann, J. Bermuth, K. Bohinc, R.
  B\""ohm, D. Bosnar, S. Derber, M. Ding, M. Distler, I. Ewald, J. Friedrich,
  J.M. Friedrich, R. Gilman, C. Glashausser, M. Hauger, P. Jennewein, J.
  Jourdan, J.J. Kelly, M. Kohl, A. Kozlov, K. W. Krygier, G. Kumbartzki, J.
  Lac, A. Liesenfeld, H. Merkel, U. M\""uller, R. Neuhausen, Th. Pospischil, R.
  D. Ransome, D. Rohe, G. Rosner, H. Schmieden, M. Seimetz, I. Sick, S.
  Strauch, J. M. Udias, J. R. Vignote, A. Wagner, Th. Walcher, G. Warren, M.
  Weis","Polarization transfer in the $^{4}$He$(\vec{e},e' \vec{p}^{3}$H reaction","5 pages, Latex, 2 postscript figures, submitted to Physics Letters B","Phys.Lett.B500:47-52,2001","10.1016/S0370-2693(01)00052-1",,"nucl-ex",,"  Polarization transfer in the 4He(e,e'p)3H reaction at a Q^2 of 0.4 (GeV/c)^2
was measured at the Mainz Microtron MAMI. The ratio of the transverse to the
longitudinal polarization components of the ejected protons was compared with
the same ratio for elastic ep scattering. The results are consistent with a
recent fully relativistic calculation which includes a predicted medium
modification of the proton form factor based on a quark-meson coupling model.
","[{""version"":""v1"",""created"":""Tue, 14 Nov 2000 14:59:00 GMT""}]","2014-11-18"
