"astro-ph/0011233","Daniele Steer","D.A.Steer","Self-intersections and gravitational properties of chiral cosmic strings
  in Minkowski space","18 pages, 7 figures. Typos corrected and a reference added. Version
  to appear in PRD","Phys.Rev. D63 (2001) 083517","10.1103/PhysRevD.63.083517",,"astro-ph hep-ph",,"  Chiral cosmic strings are naturally produced at the end of D-term inflation
and they may have interesting cosmological consequences. As was first proved by
Carter and Peter, the equations of motion for chiral cosmic strings in
Minkowski space are integrable (just as for Nambu-Goto strings). Their
solutions are labeled by a function $k(\sigma - t)$ where $t$ is time and
$\sigma$ is the invariant length along the string, and the constraints on $k$,
which determines the charge on the string, are that $0 \leq k^2 \leq 1$. We
review the origin of this parameter and also discuss some general properties of
such strings which can be deduced from the equations of motion. The metric
around infinite chiral strings is then constructed in the weak field limit, and
studied as a function of $k$. We also consider the angular momentum of circular
chiral loops, and extend previous work to consider the evolution and
self-intersection properties of a more general family of chiral cosmic string
loops for which $k^2(\sigma-t)$ is not constant.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 19:15:17 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jan 2001 12:47:13 GMT""}]","2009-10-31"
"hep-ph/0011164","E. Ruiz Arriola","E. Ruiz Arriola (1), A. G\'omez Nicola (2), J. Nieves (1) and J. R.
  Pel\'aez(2) ((1) Departamento de Fisica Moderna, Universidad de Granada) ((2)
  Departamento de F\'isica Te\'orica, Universidad Complutense de Madrid)","Chiral Perturbation Theory and Unitarization","(LaTeX) 10 pages, 5 figures, Talk given by E.R.A. at the Miniworkshop
  on ""Few Quark Problems'', Bled, Slovenia, July-2000",,,"UG-DFM/6-2000","hep-ph",,"  We review our recent work on unitarization and chiral perturbation theory
both in the $\pi\pi$ and the $\pi N$ sectors. We pay particular attention to
the Bethe-Salpeter and Inverse Amplitude unitarization methods and their recent
applications to $\pi\pi$ and $\pi N$ scattering.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 08:57:34 GMT""}]","2016-08-15"
"hep-ph/0011165","Yoshiaki Koma","Y. Koma (1), E. -M. Ilgenfritz (1), T. Suzuki (2), and H. Toki (1)
  ((1)RCNP, Osaka Univ., (2)Kanazawa Univ.)","Weyl symmetric representation of hadronic flux tubes in the dual
  Ginzburg-Landau theory","41 pages, 17 eps figures, Revtex, epsf.sty, added further discussion.
  Version accepted for publication in Phys.Rev.D","Phys.Rev. D64 (2001) 014015","10.1103/PhysRevD.64.014015","RCNP-Th/00041","hep-ph hep-lat",,"  Hadronic flux-tube solutions describing the mesonic and the baryonic states
within the dual Ginzburg-Landau (DGL) theory are investigated by using the dual
lattice formulation in the Weyl-symmetric approach. The shape of the flux tubes
is determined by placement of the color-electric Dirac-string singularity
treated as a connected stack of quantized plaquettes in the dual lattice
formulation. The Weyl symmetric profiles of the hadronic flux tubes are
obtained by using the manifestly Weyl invariant representation of the dual
gauge field.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 10:25:18 GMT""},{""version"":""v2"",""created"":""Thu, 26 Apr 2001 06:03:46 GMT""}]","2009-10-31"
"hep-ph/0011166","Pavel Pobylitsa","N.-Y. Lee, P.V. Pobylitsa, M.V. Polyakov, and K. Goeke","Meson twist-4 parton distributions in terms of twist-2 distribution
  amplitudes at large Nc","6 pages, one figure","J.Phys. G27 (2001) L127","10.1088/0954-3899/27/12/101","RUB-TP2-20/00","hep-ph",,"  We show that in the large N_c limit four-quark twist-4 distributions in the
pion can be expressed in terms of twist-2 pion distribution amplitude. This
allows us to compute the isospin-2 structure function of the pion
F_2^{I=2}(x_B) in the large N_c limit. The method can be easily applied to
other mesons as well.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 11:29:32 GMT""}]","2009-10-31"
"hep-ph/0011167","Angeles Faus-Golfe","J.Perez-Peraza, J. Velasco, A. Gallegos-Cruz, M. Alvarez-Madrigal, A.
  Faus-Golfe, A. Sanchez-Hertz","Parametrization of proton-proton total cross section from 10 GeV to 100
  TeV","9 pages, 2 figures",,,,"hep-ph",,"  Present estimations of proton-proton total cross section at very high
energies are obtained from cosmic rays (>10^17 eV) by means of some
approximations and the knowledge of the measured proton-air cross section at
these energies. Besides, total cross section are measured with present day high
energy colliders up to nearly 2 TeV in the center of mass (~ 10^15 eV in the
laboratory). Here we use a phenomenological model based on the
Multiple-Diffraction approach to succesfully describe data at accelerator
energies. Then we estimate with it proton-proton total cross sections at cosmic
ray energies. On the basis of a forecasting regression analysis we determine
confident errors bands, analyzing the sensitivity of our predictions to the
employed data for extrapolation.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 11:33:21 GMT""}]","2007-05-23"
"hep-ph/0011169","Thomas Schwetz","W. Grimus, T. Schwetz","Elastic $\nu e^-$ scattering of solar neutrinos with electromagnetic
  moments","4 pages, Talk given by T. Schwetz at EuroConference on Frontiers in
  Particle Astrophysics and Cosmology, San Feliu de Guixols, Spain, 30 Sept.-5
  Oct. 2000","Nucl.Phys.Proc.Suppl. 95 (2001) 169-172","10.1016/S0920-5632(01)01077-5","UWThPh-2000-45","hep-ph",,"  We consider the azimuthal asymmetry of the recoil electrons in elastic $\nu
e^-$ scattering of solar neutrinos, which can arise if neutrinos have
electromagnetic moments and there is a large solar magnetic field. We show that
using this effect it is not possible to distinguish between magnetic and
electric dipole moment in the 1-Dirac and 2-Majorana neutrino cases and that
averaging over neutrino energy is important and suppresses the azimuthal
asymmetry in the 2-Majorana case.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 15:41:56 GMT""}]","2009-10-31"
"hep-th/0011094","Gautam Mandal","Gautam Mandal, Spenta R. Wadia","Matrix Model, Noncommutative Gauge Theory and the Tachyon Potential","26 pages, latex, (v2) convention about \alpha' made uniform,
  brane-antibrane tension matched with string theory, references added","Nucl.Phys. B599 (2001) 137-157","10.1016/S0550-3213(01)00037-2","TIFR-TH-00/61","hep-th",,"  The D2brane-anti-D2brane system is described in the framework of BFSS Matrix
model and noncommutative (NC) gauge theory. The physical spectrum of fields is
found by appropriate gauge fixing. The exact tachyon potential is computed in
terms of these variables and an exact description of tachyon condensation
provided. We exhibit multiple vortex production with increasing topological
charge and interpret this as gradual conversion of the brane-antibrane system
to $D0$ branes. The entire analysis is carried out using the known hamiltonian
of the Matrix model, which is equivalent to the hamiltonian of the NC gauge
theory. We identify the supersymmetric ground state of this hamiltonian with
the tachyonic vacuum; Sen's conjecture about the latter follows simply from
this identification. We also find two types of closed string excitations,
solitonic (a la Dijkgraaf, Verlinde and Verlinde) as well as perturbative,
around the tachyonic vacuum.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 11:51:09 GMT""},{""version"":""v2"",""created"":""Mon, 27 Nov 2000 13:58:26 GMT""}]","2009-10-31"
"hep-th/0011095","Nikita Nekrasov","Nikita A. Nekrasov","Trieste lectures on solitons in noncommutative gauge theories","65 pp, Latex, sprocl.sty; v2. typos corrected, refs added",,"10.1142/9789812810274_0004","IHES-NN/2, ITEP-TH-70/00","hep-th",,"  We present a pedagogical introduction into noncommutative gauge theories,
their stringy origin, and non-perturbative effects, including monopole and
instanton solutions
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 23:13:20 GMT""},{""version"":""v2"",""created"":""Fri, 24 Nov 2000 17:10:43 GMT""}]","2017-08-23"
"hep-th/0011096","Constantin Rasinariu","R. Dutt, A. Gangopadhyaya, C. Rasinariu and U. Sukhatme","New Solvable Singular Potentials","19 pages, 4 figures","J.Phys.A34:4129-4142,2001","10.1088/0305-4470/34/19/311","UICHEP-TH/00-2","hep-th math-ph math.MP quant-ph",,"  We obtain three new solvable, real, shape invariant potentials starting from
the harmonic oscillator, P\""oschl-Teller I and P\""oschl-Teller II potentials on
the half-axis and extending their domain to the full line, while taking special
care to regularize the inverse square singularity at the origin. The
regularization procedure gives rise to a delta-function behavior at the origin.
Our new systems possess underlying non-linear potential algebras, which can
also be used to determine their spectra analytically.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 04:22:49 GMT""}]","2008-11-26"
"hep-th/0011097","Rod Aros","R. Aros, R. Troncoso and J. Zanelli","Black holes with topologically nontrivial AdS asymptotics","13 Pages, 3 figures, two columns, Revtex, last version for PRD","Phys.Rev. D63 (2001) 084015","10.1103/PhysRevD.63.084015","CECS-PHY-00/11","hep-th gr-qc",,"  Asymptotically locally AdS black hole geometries of dimension d > 2 are
studied for nontrivial topologies of the transverse section. These geometries
are static solutions of a set of theories labeled by an integer 0 < k <
[(d-1)/2] which possess a unique globally AdS vacuum. The transverse sections
of these solutions are d-2 surfaces of constant curvature, allowing for
different topological configurations. The thermodynamic analysis of these
solutions reveals that the presence of a negative cosmological constant is
essential to ensure the existence of stable equilibrium states. In addition, it
is shown that these theories are holographically related to [(d-1)/2] different
conformal field theories at the boundary.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 09:42:30 GMT""},{""version"":""v2"",""created"":""Tue, 13 Feb 2001 02:02:18 GMT""}]","2009-10-31"
"hep-th/0011099","Dongsu Bak","Dongsu Bak, Kimyeong Lee and Jeong-Hyuck Park","Noncommutative Vortex Solitons","22 pages, 1 figure, typos corrected, a comment on the soliton size is
  added","Phys.Rev. D63 (2001) 125010","10.1103/PhysRevD.63.125010","UOSTP-00107, KIAS-P00072","hep-th",,"  We consider the noncommutative Abelian-Higgs theory and investigate general
static vortex configurations including recently found exact multi-vortex
solutions. In particular, we prove that the self-dual BPS solutions cease to
exist once the noncommutativity scale exceeds a critical value. We then study
the fluctuation spectra about the static configuration and show that the exact
non BPS solutions are unstable below the critical value. We have identified the
tachyonic degrees as well as massless moduli degrees. We then discuss the
physical meaning of the moduli degrees and construct exact time-dependent
vortex configurations where each vortex moves independently. We finally give
the moduli description of the vortices and show that the matrix nature of
moduli coordinates naturally emerges.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 12:47:38 GMT""},{""version"":""v2"",""created"":""Thu, 30 Nov 2000 10:33:45 GMT""}]","2009-10-31"
"hep-th/0011100","Elena Poletaeva","Elena Poletaeva","A spinor-like representation of the contact superconformal algebra K'(4)","19 pages, TeX. Corrections to the references in the paper to be
  published in J. Math. Phys. v 42, no 1, 2001","J.Math.Phys. 42 (2001) 526-540","10.1063/1.1326920",,"hep-th",,"  In this work we construct an embedding of a nontrivial central extension of
the contact superconformal algebra K'(4) into the Lie superalgebra of
pseudodifferential symbols on the supercircle S^{1|2}. Associated with this
embedding is a one-parameter family of spinor-like tiny irreducible
representations of K'(4) realized just on 4 fields instead of the usual 16.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:58:49 GMT""},{""version"":""v2"",""created"":""Wed, 20 Dec 2000 15:14:37 GMT""}]","2015-06-25"
"hep-th/0011101","Michihiro Naka","Jiro Hashiba (Yukawa Inst.) and Michihiro Naka (U. Tokyo)","Landau-Ginzburg Description of D-branes on ALE Spaces","24 pages, 6 figures, reference added, typos corrected","Nucl.Phys. B599 (2001) 361-380","10.1016/S0550-3213(00)00758-6","YITP-00-61, UT-915","hep-th",,"  We study the Landau-Ginzburg (LG) mirror theory of the non-linear sigma model
on the ALE space ${\cal M}$ obtained by resolving the singularity of the
orbifold ${\bf C}^2/{\bf Z}_N$. In the LG description, the data of the BPS
spectrum and the lines of marginal stability are encoded in the special
Lagrangian submanifolds of the mirror manifold $\hat{{\cal M}}$. Our LG
description is quite simple as compared with the quiver gauge theory analysis
near the orbifold point. Furthermore our mirror analysis can be applied to any
point on the moduli space of ${\cal M}$.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 14:07:54 GMT""},{""version"":""v2"",""created"":""Mon, 20 Nov 2000 11:21:08 GMT""}]","2009-10-31"
"hep-th/0011103","Kayhan Uelker","K. Ulker","On the Cohomological Structure of Supersymmetric Lagrangeans With and
  Without Auxiliary Fields","10 Pages, LaTex. Revised version: references added, typos corrected","Mod.Phys.Lett.A16:881-889,2001","10.1142/S0217732301003991","Bonn-TH 2000-09","hep-th",,"  The origin of non-renormalization theorems in field theories with global
supersymmetry can be traced to the fact that supersymmetric actions can be
viewed as the highest components of respective supermultiplets. Supersymmetric
interactions in particular can therefore be represented as supersymmetry
variations of lower dimensional field polynomials. We investigate here this
algebraic structure in the context of the Wess-Zumino model and N=1 and N=2
supersymmetric Yang-Mills theories.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 15:13:40 GMT""},{""version"":""v2"",""created"":""Tue, 28 Nov 2000 13:27:09 GMT""}]","2011-07-19"
"hep-th/0011104","Evgenij Martynov","A.I. Bugrij (Bogolyubov Inst. Theor. Phys., Kiev)","The correlation function in two dimensional Ising model on the finite
  size lattice. I","25 pages, 1 fig., LaTeX, mispints corrected, references added",,,,"hep-th",,"  The correlation function of two dimensional Ising model with the nearest
neighbours interaction on the finite size lattice with the periodical boundary
conditions is derived. The expressions similar to the form factor
representation are obtained both for the ferromagnetic and paramagnetic regions
of coupling constant. The peculiarities caused by the finite size of the system
are discussed. The asymptotic behaviour of the corresponding quantities as
functions of size is calculated. Some generalization of the obtained result is
conjectured.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 15:57:50 GMT""},{""version"":""v2"",""created"":""Sun, 4 Mar 2001 18:25:09 GMT""}]","2007-05-23"
"math-ph/0011020","Marcos Jardim","Marcos Jardim","Finite action solutions of SO(2,1) Hitchin's equations",,,,,"math-ph math.DG math.MP",,"  We present a 1-parameter family of finite action solutions to the $S0(2,1)$
Hitchin's equations and explore some of its basic properties. For a fixed value
of the parameter, the solution is smooth. We conclude by showing a
multi-particle generalization of our basic solutions.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 15:21:25 GMT""}]","2007-05-23"
"math/0011071","Zhongmin Shen","David Bao and Zhongmin Shen","Finsler Metrics of Constant Positive Curvature on the Lie Group $s^3$","35 pages with a Maple program",,,,"math.DG math.MG",,"  Guided by the Hopf fibration, we single out a family (indexed by a positive
constant K) of right invariant Riemannian metrics on the Lie group $S^3$. Using
the Yasuda-Shimada theorem as an inspiration, we determine for each K>1 a
privileged right invariant Killing field of constant length. Each such
Riemannian metric pairs with the corresponding Killing field to produce a
y-global and {\it explicit} Randers metric on $S^3$. Using the machinery of
spray curvature and Berwald's formula for it, we prove directly that the said
Randers metric has constant positive flag curvature K, as predicted by the
Yasuda-Shimada theorem. We also explain why this family of Finslerian space
forms is NOT projectively flat.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 19:43:53 GMT""}]","2007-05-23"
"math/0011072","Toufik Mansour","T. Mansour","Restricted single or double signed patterns","13 pages, 1 table, 1 figure",,,,"math.CO",,"  Let $E_n^r=\{[\tau]_a=(\tau_1^{(a_1)},...,\tau_n^{(a_n)})| \tau\in S_n,\
1\leq a_i\leq r\}$ be the set of all signed permutations on the symbols
1,2,...,n with signs 1,2,...,r. We prove, for every 2-letter signed pattern
$[\tau]_a$, that the number of $[\tau]_a$-avoiding signed permutations in
$E_n^r$ is given by the formula $\sum\limits_{j=0}^n j!(r-1)^j{n\choose j}^2$.
Also we prove that there are only one Wilf class for r=1, four Wilf classes for
r=2, and six Wilf classes for $r\geq 3$.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 19:52:30 GMT""}]","2007-05-23"
"math/0011073","Alexandru Dimca","A. Dimca","Arrangements, Milnor Fibers and Polar Curves","10 pages",,,,"math.AG math.AT",,"  We describe a new relation between the topology of hyperplane arrangements,
Milnor fibers and global polar curves, via the affine Lefschetz theory
developped by A. N\'emethi. In particular, we improve some results due to Orlik
and Terao (see Math. Ann. 301(1995)) and complete/clarify a proof by Randell
concerning the minimality of hyperplane arrangements (see math.AT/0011101).
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 08:40:33 GMT""},{""version"":""v2"",""created"":""Mon, 20 Nov 2000 11:23:07 GMT""}]","2007-05-23"
"math/0011074","Leclerc Bernard","Bernard Leclerc, Maxim Nazarov, Jean-Yves Thibon","Induced representations of affine Hecke algebras and canonical bases of
  quantum groups","33 pages, 2 figures, final version","Studies in Memory of Issai Schur, Progress in Mathematics 210,
  115-153, Birkhauser 2003",,,"math.QA math.CO math.RT",,"  A criterion of irreducibility for induction products of evaluation modules of
type A affine Hecke algebras is given. It is derived from multiplicative
properties of the canonical basis of a quantum deformation of the
Bernstein-Zelevinsky ring.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 10:45:52 GMT""},{""version"":""v2"",""created"":""Wed, 20 Dec 2000 15:58:39 GMT""},{""version"":""v3"",""created"":""Mon, 31 Mar 2003 14:34:03 GMT""}]","2007-05-23"
"math/0011075","Volker Heiermann","Volker Heiermann","Une formule de Plancherel pour l'alg`ebre de Hecke d'un groupe r'eductif
  p-adique","23 pages","Comment. Math. Helv. 76 (2001) 388-415",,"preprint Humboldt-Universitat zu Berlin, 98-11","math.RT math.GR math.NT",,"  We show a matrix Paley-Wiener theorem for the Hecke algebra of a p-adic
group. The proof is based on an analogue of Harish-Chandra's Plancherel
formula.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 11:47:20 GMT""}]","2007-05-23"
"math/0011076","Ralf Meyer","Ralf Meyer","Generalized fixed point algebras and square-integrable group actions","19 pages","J. Funct. Anal. 186 (2001), pp. 167-195","10.1006/jfan.2001.3795",,"math.OA",,"  We analzye Rieffel's construction of generalized fixed point algebras in the
setting of group actions on Hilbert modules. Let G be a locally compact group
acting on a C*-algebra B. We construct a Hilbert module F over the reduced
crossed product of G and B, using a pair (E, R), where E is an equivariant
Hilbert module over B and R is a dense subspace of E with certain properties.
The generalized fixed point algebra is the C*-algebra of compact operators on
F. Any Hilbert module over the reduced crossed product arises by this
construction for a pair (E, R) that is unique up to isomorphism.
  A necessary condition for the existence of R is that E be square-integrable.
The consideration of square-integrable representations of Abelian groups on
Hilbert space shows that this condition is not sufficient and that different
choices for R may yield different generalized fixed point algebras.
  If B is proper in Kasparov's sense, there is a unique R with the required
properties. Thus the generalized fixed point algebra only depends on E.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:06:50 GMT""}]","2015-10-23"
"math/0011077","Ralf Schindler","Ralf Schindler","A universal weasel without large cardinals in V","8 pages",,,,"math.LO",,"  We prove in the theory ""ZFC + there is no inner model with a Woodin cardinal""
that there is a universal weasel. This shows in particular that one doesn't
have to assume the existence of large cardinals in V to prove the existence of
some such weasel.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 15:49:20 GMT""}]","2007-05-23"
"nlin/0011021","Iapmm","V.Gafiychuk, A.Shnyr, B.Datsko (Institute of Applied Problems of
  Mechanics and Mathematics, National Academy of Science of Ukraine)","Interface dynamics equations: their properties and computer simulation","3 figures",,,,"nlin.AO",,"  We investigate the interface dynamic in Laplacian growth model, using the
conformal mapping technique. Starting from the governing equation for the
conformal map, obtained by B.Shraiman and D.Bensimon, we derive different
possible forms of the equation. Some of them have evident physical
representation and are convenient for computer simulation, the results of which
are presented in this paper.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:09:39 GMT""}]","2007-05-23"
"nlin/0011022","Spina M. E.","M.E.Spina and M.Saraceno","Quantum Spectra of Triangular Billiards on the Sphere","18 pages, 5 eps figures",,"10.1088/0305-4470/34/12/303",,"nlin.CD",,"  We study the quantal energy spectrum of triangular billiards on a spherical
surface. Group theory yields analytical results for tiling billiards while the
generic case is treated numerically. We find that the statistical properties of
the spectra do not follow the standard random matrix results and their peculiar
behaviour can be related to the corresponding classical phase space structure.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 14:41:32 GMT""}]","2009-10-31"
"nucl-th/0011044","Shadow J. Q. Robinson","Shadow J.Q. Robinson and Larry Zamick","The Original Mixed Symmetry States - $6^{+}_{1}$ and $6^{+}_{2}$ in
  $^{48}$Ti",,,"10.1103/PhysRevC.63.057301",,"nucl-th",,"  The $6^{+}_{1}$ and $6^{+}_{2}$ in $^{48}$Ti form a nearly degenerate
doublet. In a single j shell calculation with the matrix elements from
experiment the $6^{+}_{1}$ changes sign under the interchange of protons and
neutron holes (odd signature) while the $6_{2}^{+}$ does not (even signature).
As a consequence the calculated B(E2) $6_{1}^{+}\to 4_{1}^{+}$ is much stronger
than the $6_{2}^{+}\to 4_{1}^{+}$ and the Gamow-Teller matrix element to the
$6_{2}^{+}$ state vanishes. When using some popular interaction e.g. FPD6 in
single j shell the ordering of the even signature and odd signature states gets
reversed, so that the Gamow-Teller matrix element to the $6^{+}_{1}$ state
vanishes and the $6_{2}^{+}\to 4_{1}^{+}$ E2 transition is the strong one. When
configuration mixing is introduced, the E2 transition $6_{2}^{+}\to 4_{1}^{+}$
persists in being large. However the Gamow-Teller strengths reverse, with the
large matrix element to the $6_{1}^{+}$ state in agreement with experiment.
Static properties $\mu$ and Q for the two $6^{+}$ states are also considered.
The experimental B(E2)'s from the $6^{+}$ states to the $4_{1}^{+}$ state are
not well known.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 19:39:42 GMT""}]","2013-05-29"
"nucl-th/0011045","Klaus Morawetz","Klaus Morawetz, Pavel Lipavsk\'y, Jaques Normand, Daniel Cussol, Jean
  Colin and Bernard Tamain","Mid-rapidity charge distribution in peripheral heavy ion collisions","citations completed, formulae corrected","Phys.Rev. C63 (2001) 034619","10.1103/PhysRevC.63.034619",,"nucl-th",,"  The charge density distribution with respect to the velocity of matter
produced in peripheral heavy ion reactions around Fermi energy is investigated.
The experimental finding of enhancement of mid-rapidity matter shows the
necessity to include correlations beyond BUU which was performed in the
framework of nonlocal kinetic theory. Different theoretical improvements are
discussed. While the in-medium cross section changes the number of collisions,
it leaves the transferred energy almost unchanged. In contrast the nonlocal
scenario changes the energy transferred during collisions and leads to an
enhancement of mid-rapidity matter. The renormalisation of quasiparticle
energies can be included in nonlocal scenarios and leads to a further
enhancement of mid-rapidity matter distribution. This renormalisation is
accompanied by a dynamical softening of the equation of state seen in longer
oscillation periods of the excited compressional collective mode. We propose to
include quasiparticle renormalisation by using the Pauli-rejected collisions
which circumvent the problem of backflows in Landau theory. Using the maximum
relative velocity of projectile and target like fragments we associate
experimental events with impact parameters of the simulations. For peripheral
collisions we find a reasonable agreement between experiment and theory. For
more central collisions, the velocity damping is higher in one-body simulations
than observed experimentally, because of missing cluster formations in the
kinetic theory used.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 10:14:03 GMT""},{""version"":""v2"",""created"":""Wed, 20 Dec 2000 08:07:52 GMT""},{""version"":""v3"",""created"":""Tue, 16 Jan 2001 14:42:14 GMT""}]","2009-11-06"
"nucl-th/0011046","Christoph Keil","C. Keil, F. Hofmann and H. Lenske","The structure of lambda hypernuclei","4 pages, contributed talk at HYP200, Torino, 23.-27.Oct.2000",,,"UGI-00-18","nucl-th",,"  The density dependent relativistic hadron field theory is extended to also
describe strange systems. It is seen that the application to hypernuclei works
extremely well. Important spin orbit effects in lambda hypernuclei are studied
and their experimental relevance is pointed out.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:04:57 GMT""}]","2007-05-23"
"physics/0011023","Neill Bowler","Neill E. Bowler, Thomas M. Fink, Robin C. Ball","Characterisation of the probabilistic travelling salesman problem","Updated to: 10 pages, 7 figures, submitted to PRE Updated from: 7
  pages, 7 figures",,"10.1103/PhysRevE.68.036703",,"physics.comp-ph physics.gen-ph",,"  We show that Stochastic Annealing can be successfully applied to gain new
results on the Probabilistic Traveling Salesman Problem (PTSP). The
probabilistic ""traveling salesman"" must decide on an a priori order in which to
visit n cities (randomly distributed over a unit square) before learning that
some cities can be omitted. We find the optimized average length of the pruned
tour follows E(\bar{L}_{pruned}) = \sqrt{np} (0.872-0.105p) f(np) where p is
the probability of a city needing to be visited, and f(np) -> 1 as np ->
infinity. The average length of the a priori tour (before omitting any cities)
is found to follow E(L_{a priori}) =\sqrt{n/p}\beta (p) where \beta
(p)=1/(1.25-0.82 ln(p)) is measured for 0.05 < p < 0.6. Scaling arguments and
indirect measurements suggest that \beta (p) tends towards a constant for
p<0.03. Our stochastic annealing algorithm is based on limited sampling of the
pruned tour lengths, exploiting the sampling error to provide the analogue of
thermal fluctuations in simulated (thermal) annealing. The method has general
application to the optimization of functions whose cost to evaluate rises with
the precision required.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 10:45:36 GMT""},{""version"":""v2"",""created"":""Mon, 20 Jan 2003 16:48:46 GMT""}]","2013-05-29"
"physics/0011024","Thomas Pattard","Thomas Pattard and Jan M. Rost","Threshold fragmentation under dipole forces",,"Foundations of Physics 31, 535 (2001)",,,"physics.atom-ph physics.gen-ph",,"  The threshold law for N-body fragmentation under dipole forces is formulated.
It emerges from the energy dependence of the normalization of the correlated
continuum wave function for N fragments. It is shown that the dipole threshold
law plays a key role in understanding all threshold fragmentation phenomena
since it links the classical threshold law for long-range Coulomb interactions
to the statistical law for short-range interactions. Furthermore, a tunnelling
mechanism is identified as the common feature which occurs for all three
classes of interactions, short-range, dipole and Coulomb.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 13:28:46 GMT""}]","2007-05-23"
"quant-ph/0011046","Peter Gacs","Peter Gacs","Quantum Algorithmic Entropy","20 pages. Minor Tex problem corrected","J. Phys. A: Math. Gen., 34:1--22, 2001","10.1088/0305-4470/34/35/312",,"quant-ph",,"  We extend algorithmic information theory to quantum mechanics, taking a
universal semicomputable density matrix (``universal probability'') as a
starting point, and define complexity (an operator) as its negative logarithm.
  A number of properties of Kolmogorov complexity extend naturally to the new
domain. Approximately, a quantum state is simple if it is within a small
distance from a low-dimensional subspace of low Kolmogorov complexity. The von
Neumann entropy of a computable density matrix is within an additive constant
from the average complexity. Some of the theory of randomness translates to the
new domain.
  We explore the relations of the new quantity to the quantum Kolmogorov
complexity defined by Vitanyi (we show that the latter is sometimes as large as
2n - 2log n and the qubit complexity defined by Berthiaume, Dam and Laplante.
The ``cloning'' properties of our complexity measure are similar to those of
qubit complexity.
","[{""version"":""v1"",""created"":""Sun, 12 Nov 2000 20:22:12 GMT""},{""version"":""v2"",""created"":""Fri, 15 Jun 2001 22:55:23 GMT""}]","2009-11-06"
"quant-ph/0011047","Ryutaroh Matsumoto","Ryutaroh Matsumoto","Fidelity of a t-error correcting quantum code with more than t errors","9 pages, ReVTeX4 beta 5. To be published in Phys. Rev. A. The lower
  bound is made tighter in version 4 and 5. All approximations in the first
  version are removed, and a lower bound for the average of the fidelity is
  given in the second version. A critical error is corrected","Phys. Rev. A 64, 022314 (2001); Erratum: Phys. Rev. A 66, 059901
  (2002).","10.1103/PhysRevA.66.059901",,"quant-ph",,"  It is important to study the behavior of a t-error correcting quantum code
when the number of errors is greater than t, because it is likely that there
are also small errors besides t large correctable errors. We give a lower bound
for the fidelity of a t-error correcting stabilizer code over a general
memoryless channel, allowing more than t errors. We also show that the fidelity
can be made arbitrary close to 1 by increasing the code length.
","[{""version"":""v1"",""created"":""Mon, 13 Nov 2000 08:15:56 GMT""},{""version"":""v2"",""created"":""Mon, 25 Dec 2000 16:04:46 GMT""},{""version"":""v3"",""created"":""Tue, 26 Dec 2000 03:06:25 GMT""},{""version"":""v4"",""created"":""Fri, 12 Jan 2001 07:35:41 GMT""},{""version"":""v5"",""created"":""Fri, 11 May 2001 07:15:14 GMT""}]","2009-11-06"
